0: [[1, 9, 4, 10, 2], [3, 5], [6, 8, 11], [12, 7, 13]]
1: [[1, 9, 4, 10, 2], [3, 5], [6, 8, 11], [12, 7, 13]]
2: [[1, 9, 4, 10, 2], [3, 5], [6, 8, 11], [12, 7, 13]]
3: [[1, 9, 4, 10, 2], [3, 5], [6, 8, 11], [12, 7, 13]]
4: [[1, 9, 4], [3, 5, 7], [6, 8, 11], [12, 10, 13, 2]]
5: [[1, 9, 4], [3, 5, 7], [6, 8, 11], [12, 10, 13, 2]]
6: [[1, 9, 4], [3, 5, 7], [6, 8, 11], [12, 10, 13, 2]]
7: [[1, 9, 4], [3, 5, 7], [6, 8, 11], [12, 10, 13, 2]]
8: [[1], [9, 10, 2, 4], [5, 6, 3], [8, 11], [12, 7, 13]]
9: [[1, 9, 4], [10, 3, 5, 6, 2], [8, 11, 12, 7, 13]]
10: [[1, 9, 4], [10], [3, 6], [8, 11, 7], [12, 5, 13, 2]]
11: [[1, 9, 4], [6], [3, 5], [10, 8, 11], [12, 13, 2, 7]]
12: [[1, 9, 4], [6], [3, 5], [8], [11, 12, 10, 13, 2, 7]]
13: [[1, 9], [4, 10, 3, 5, 6], [2, 8, 11, 12, 7, 13]]
14: [[1, 9, 4], [10, 3, 5], [6, 2], [8, 11, 12, 7], [13]]
15: [[1, 9, 4], [10], [3, 7], [5, 8, 11, 12, 6, 13, 2]]
16: [[1, 9, 6], [4, 3], [7, 5, 2, 8, 11, 13, 10, 12]]
17: [[1], [9, 3, 4], [5, 7], [6, 8, 11], [12, 10, 13, 2]]
18: [[1, 9, 4, 2, 3, 7, 5, 6, 8, 11, 12], [10], [13]]
19: [[1, 9], [10, 3, 4], [5, 6, 2], [8, 11, 12, 7], [13]]
20: [[1, 9, 4, 10, 3], [5, 7, 2, 8], [11, 12, 6, 13]]
21: [[1, 9, 4, 6], [11], [3], [8, 10], [12, 13, 5, 2, 7]]
22: [[1, 9], [4, 10, 2], [3, 5, 6, 8, 11, 12, 7, 13]]
23: [[1, 9, 12, 2, 7], [10, 3, 5], [8, 11, 4], [6, 13]]
24: [[1, 9, 12, 2, 7], [10, 3, 5], [8, 11, 4], [6, 13]]
25: [[1, 9], [3, 10, 4], [5, 8], [11, 6, 12, 13, 2, 7]]
26: [[1, 9], [10], [5], [3, 8, 11, 4], [12, 6, 13, 2, 7]]
27: [[1, 9, 6, 10, 2], [7], [4, 3, 8, 11, 12, 5, 13]]
