0: [[13, 12], [18, 19, 17, 20], [5, 2, 4], [1, 3, 8, 11], [10, 7, 9], [14, 16, 6, 15]]
1: [[13, 12, 18], [19, 17, 20], [5, 2, 4], [1, 3, 8, 11], [10, 7, 9], [14, 16, 6, 15]]
2: [[13, 12, 18], [19, 17, 20], [5, 2, 4, 1], [3, 8, 11], [10, 7, 9], [14, 6, 16, 15]]
3: [[13, 12, 18], [19, 17, 20], [5, 2, 1], [4, 3, 8, 11], [10, 7, 9], [14, 16, 15, 6]]
4: [[13, 12, 18], [19, 17, 20], [5, 2, 1], [3, 8, 4], [11, 10, 7, 9], [14, 16, 6, 15]]
5: [[13, 12], [18, 19], [17, 20], [5, 2, 1], [3, 8, 11, 4], [10, 7, 9], [14, 16, 6, 15]]
6: [[13, 12], [18, 19, 17], [20, 5, 2, 4], [1, 3, 8, 11], [10, 7, 14, 6, 16, 15, 9]]
7: [[13, 12], [18, 19, 17, 20], [5, 1, 3], [8, 2, 4, 11], [10, 7, 9], [14, 16, 6, 15]]
8: [[13, 12], [18, 19, 17], [20, 5], [2, 4, 1, 3, 8], [11, 10, 7, 9], [14, 16, 6, 15]]
9: [[13, 12], [18, 19], [17, 20], [5, 2, 1], [3, 8, 11], [10, 7, 14, 6], [4, 16, 9, 15]]
10: [[13, 12, 18], [19, 17, 20], [5, 2, 4], [1, 3], [8, 11, 10], [7, 9, 14], [16, 6, 15]]
11: [[13, 12], [18, 19, 17, 20], [5, 2, 1, 4], [3, 8, 11, 10, 7, 14, 16, 6, 15, 9]]
12: [[13, 12, 18, 19], [17, 20, 5], [2, 4, 1], [3, 8, 11], [10, 7, 9], [14, 16, 15, 6]]
13: [[13, 12, 18], [19, 17, 20], [5, 1, 2], [4, 3, 8], [11], [10, 7, 6, 14, 16, 15, 9]]
14: [[13, 12], [18, 19, 17], [20, 5, 2, 4], [1, 3], [8, 11], [10, 7, 14, 6], [16, 15, 9]]
15: [[13, 12, 18], [19, 17, 20], [5, 2, 1, 4], [3, 8, 11, 10], [7, 14, 16, 6, 9], [15]]
16: [[13, 12], [18, 19, 17], [20, 5, 2], [1, 3, 8, 4], [11, 10, 7, 9], [14, 16, 6], [15]]
17: [[13, 12], [18, 19, 17, 20], [5, 2, 4], [1, 8, 11], [3, 10, 7, 9, 14, 16, 6, 15]]
18: [[13, 12, 18], [19, 17], [20, 5, 2], [1, 3, 4], [8, 11, 10, 7, 9], [14, 16, 6, 15]]
19: [[13, 12], [18, 19], [17, 20, 5, 2], [1, 3, 8, 11], [10, 7, 14, 6, 4], [16, 15, 9]]
20: [[13, 12, 18], [19, 17, 20], [5, 2], [4, 1, 3], [8, 11], [10, 7, 9, 14], [16, 6, 15]]
21: [[13, 12], [18, 19, 17], [20, 5, 2], [4, 1, 3], [8, 11, 10, 7], [14, 6, 9, 16, 15]]
22: [[13, 12], [18, 19], [17, 20, 5], [2, 4], [1, 3, 8], [11, 10, 7, 6], [14, 16, 15], [9]]
23: [[13, 12], [18, 19, 17], [20, 5], [2, 4], [1, 3, 8, 11, 10], [7, 14, 6, 9], [16, 15]]
24: [[13, 12], [18, 19, 17], [20, 5, 2], [1, 3, 4], [8, 11, 10], [7, 14, 6, 9], [16, 15]]
25: [[13, 12], [18, 19, 17], [20, 5, 2, 1, 4], [3, 8, 11, 10, 7, 14, 16, 6, 15, 9]]
26: [[13, 12, 18], [19, 17], [20, 5], [2, 1], [3, 8, 10, 4], [11, 7, 9], [14, 16, 6, 15]]
27: [[13, 12], [18, 19, 17], [20, 5], [2, 1, 3, 4], [8, 11, 10], [7, 14, 6, 9], [16, 15]]
28: [[13, 12, 18, 19], [17, 20, 5, 2], [4, 1, 3, 8, 11], [10, 7, 9], [14, 16, 15, 6]]
29: [[13, 12, 18], [19, 17, 20, 5], [2, 4, 1], [3, 8, 11, 10], [7, 14, 6, 16], [9, 15]]
30: [[13, 12, 18], [19, 17], [20, 5, 2, 1], [3, 8, 4, 11], [10, 7, 9, 14], [16, 6, 15]]
31: [[13, 12], [18, 19, 17], [20, 5], [2, 1, 3, 8], [11, 10, 4], [7, 14, 6], [16, 15, 9]]
32: [[13, 12], [18, 19, 17], [20, 5], [2, 4, 1, 3], [8, 11, 10, 7], [9, 14], [6, 16, 15]]
33: [[13, 12, 18], [19, 17], [20, 5, 2, 4, 1], [3, 8, 11, 10, 7, 14, 16, 6, 15, 9]]
34: [[13, 12, 18], [19, 17, 20, 5], [2, 1, 3, 4], [8, 11, 10, 7, 14, 16, 6, 15, 9]]
35: [[13, 12, 18], [19, 17], [20, 5, 2, 4], [1, 3, 8, 11], [10, 7, 14, 16], [6], [9, 15]]
36: [[13, 12], [18, 19, 17], [20, 5, 2, 1], [3, 8, 4], [11, 10, 7, 14, 16, 6], [15], [9]]
37: [[13, 12], [18, 19], [17, 20, 5], [1, 2, 3, 4, 8], [11, 10, 7], [14, 16, 6, 9], [15]]
38: [[13, 12, 18], [19, 17, 20, 5], [2, 4, 1, 3, 8, 11, 10, 7, 9, 14, 16, 6, 15]]
39: [[13, 12], [18, 19, 17], [20, 5, 2], [4, 1, 3], [8, 11, 10], [7, 9], [14, 16], [6, 15]]
40: [[13, 12], [18, 19], [17, 20], [5, 1], [2, 3, 4], [8, 11, 10, 7], [14, 16], [6, 15, 9]]
41: [[13, 12], [18, 19, 17], [20, 5, 1], [3, 8, 2], [11, 10, 7, 4], [14, 16, 6, 9], [15]]
