0: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
1: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
2: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
3: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
4: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
5: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
6: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
7: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
8: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
9: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
10: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
11: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
12: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
13: [[8, 3, 11], [1, 2, 7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
14: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
15: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
16: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
17: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
18: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
19: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
20: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
21: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
22: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
23: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
24: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
25: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
26: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
27: [[8, 3, 11], [1, 2, 7, 10, 5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
28: [[8, 3, 11], [1, 2, 7, 10, 5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
29: [[8, 3, 11, 1, 2], [7, 10, 5], [16, 12, 14, 13, 19, 15, 4], [20, 18, 17, 6, 9]]
30: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
31: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
32: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
33: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
34: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
35: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12], [14, 13, 6, 4, 9], [19, 15, 20, 18, 17]]
36: [[8, 3, 11, 1, 2], [7, 10, 5, 16, 12, 14, 13], [6, 4, 9], [19, 15, 20, 18, 17]]
37: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12, 14, 13], [6, 4, 9], [19, 15, 20, 18, 17]]
38: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12, 14, 13], [6, 4, 9], [19, 15, 20, 18, 17]]
39: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12, 14, 13], [6, 4, 9], [19, 15, 20, 18, 17]]
40: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12, 14, 13], [6, 4, 9], [19, 15, 20, 18, 17]]
41: [[8, 3, 11, 1, 2, 7, 10], [5, 16, 12, 14, 13, 4], [19, 15, 20, 18, 17, 6, 9]]
