It No., Best MQ, No clusters, max clus, min clus
1,1.4968316707447142,4,4,2
2,1.3290612895876053,5,4,2
3,1.2763849016480595,4,5,2
4,1.2380952380952381,3,5,4
5,1.164782608695652,3,5,4
6,1.2883141762452106,4,5,2
7,1.24015922158337,3,5,4
8,1.278271436166173,4,4,2
9,1.4098751490055839,4,4,2
10,1.335283873214908,4,5,2
11,1.4968316707447142,4,4,2
12,1.2820048309178744,4,4,2
13,1.276449275362319,4,4,3
14,1.2906701141995258,3,5,4
15,1.3269112174375333,4,4,2
16,1.3166666666666667,4,5,2
17,1.486888111888112,4,4,3
18,1.4246031746031744,5,4,2
19,1.4098751490055836,4,4,2
20,1.3109730848861285,3,5,4
21,1.3172161172161172,3,5,4
22,1.2101587301587302,3,5,4
23,1.2262626262626264,5,5,2
24,1.1185089420383538,3,5,4
25,1.3035714285714286,3,5,4
26,1.3551587301587302,5,3,2
27,1.2240655401945726,4,6,2
28,1.407839262187088,5,3,2
29,1.2824074074074074,4,6,2
30,1.3412698412698412,4,5,2
31,1.272647527910686,5,3,2
