0: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
1: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 17, 10, 14], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
2: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 17, 10, 14], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
3: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 17, 10, 14], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
4: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 17, 10, 14], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
5: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
6: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
7: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
8: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
9: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
10: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
11: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
12: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
13: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
14: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
15: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
16: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
17: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
18: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
19: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
20: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
21: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
22: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
23: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
24: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
25: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
26: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
27: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
28: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
29: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
30: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
31: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
32: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
33: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
34: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
35: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
36: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
37: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
38: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
39: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
40: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
41: [[9, 18, 5, 6, 2, 24, 19], [1, 3, 4, 8, 12], [7, 15, 11, 13, 14, 10, 17], [16, 28, 23, 22], [20, 29, 25], [27, 26, 21]]
