It No., Best MQ, No clusters, max clus, min clus
1,1.3551160578460881,3,13,12
2,1.5446015944981055,4,10,9
3,1.4683316782522344,3,13,12
4,1.4896589049915492,4,10,9
5,1.373035484464056,3,13,12
6,1.580752434661358,4,10,9
7,1.447549019607843,3,13,12
8,1.3968321747765642,3,13,12
9,1.8619127249562029,6,7,6
10,1.4553048214396236,3,13,12
11,1.4266920059158168,3,13,12
12,1.6994408815549116,10,4,3
13,1.7046063927878374,9,5,4
14,1.4523788862958844,4,10,9
15,1.4790662931839402,3,13,12
16,1.5645223682591376,5,8,7
17,1.407321408095402,3,13,12
18,1.5507958770552757,7,6,5
19,1.4361218436560903,3,13,12
20,1.4620231756968367,3,13,12
21,1.3434632624964153,3,13,12
22,1.455508925775133,3,13,12
23,1.4336037500864873,3,13,12
24,1.3844020386393268,3,13,12
25,1.4451162790697674,3,13,12
26,1.4185010036403225,3,13,12
27,1.7368211034553918,6,7,6
28,1.441300928044274,3,13,12
29,1.435,3,13,12
30,1.4255861785273551,3,13,12
31,1.6260141352068431,4,10,9
