0: [[22, 13, 5, 6, 4], [8, 14, 15], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 19], [24, 21, 23]]
1: [[6, 15], [22, 4], [13, 5, 8, 14], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17, 12, 18, 19], [24, 21, 23]]
2: [[6, 15], [22, 4], [13, 5, 8, 14], [20, 1], [10, 2], [11, 7], [16, 3], [9, 17, 12, 18, 19], [24, 21, 23]]
3: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17, 12], [18, 19, 15, 4], [24, 21, 23]]
4: [[22, 13], [5, 8, 15], [14, 20, 1, 4], [10, 2], [11, 7, 16], [3, 9, 6], [17, 12], [18, 19], [24, 21, 23]]
5: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
6: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
7: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
8: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
9: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
10: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
11: [[22], [5, 4], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 21, 23]]
12: [[22, 6, 4], [5, 8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3], [9, 17], [12, 18, 15], [19, 24], [21, 23]]
13: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
14: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
15: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
16: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
17: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
18: [[22], [5], [8, 14], [20, 1, 13], [10, 2], [11, 7], [16, 3, 6], [9, 17], [12, 18, 15], [19, 24, 4], [21, 23]]
