0: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
1: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
2: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
3: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
4: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
5: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
6: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
7: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
8: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
9: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
10: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
11: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
12: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
13: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
14: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
15: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
16: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
17: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
18: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
19: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
20: [[3, 1], [4, 5, 10, 6, 9, 2], [12, 13, 7], [8, 11]]
21: [[3, 1], [5, 10, 6, 4, 2], [9, 7, 12, 13], [8, 11]]
22: [[3, 1], [5, 10, 6, 4, 2], [9, 7, 12, 13], [8, 11]]
23: [[3, 1], [5, 10, 6, 4, 2], [9, 7, 12, 13], [8, 11]]
24: [[3, 1], [5, 10, 6, 4, 2], [9, 7, 12, 13], [8, 11]]
25: [[3, 1], [5, 10, 4, 2], [6, 9, 7, 12, 13], [8, 11]]
26: [[3, 1], [5, 10, 4, 2], [6, 9, 7, 12, 13], [8, 11]]
27: [[3, 1], [5, 10, 4, 2], [6, 9, 7, 12, 13], [8, 11]]
