0: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4], [9, 11, 13, 12], [14, 15], [19, 18, 20, 17]]
1: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4, 9, 11, 13, 12, 14], [15, 19, 18, 20, 17]]
2: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4, 9, 11, 13, 12, 14], [15, 19, 18, 20, 17]]
3: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4], [9, 11, 13, 12, 14, 15], [19, 18, 20, 17]]
4: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4], [9, 11, 13, 12], [14, 15], [19, 18], [20, 17]]
5: [[16, 1, 6], [8, 3], [5, 2, 7], [10, 4, 9], [11, 13, 12], [14, 15], [19, 18, 20, 17]]
6: [[16, 1, 6, 8, 3], [5, 2, 7, 10], [4, 9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
7: [[16, 1, 6], [8, 3], [5, 2, 7], [10, 4], [9], [11, 13, 12], [14, 15], [19, 18, 20, 17]]
8: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4], [9, 11, 13, 12, 14], [15, 19], [18, 20, 17]]
9: [[16, 1, 6, 8, 3], [5, 2, 7, 10, 4, 9, 11], [13, 12, 14, 15], [19, 18, 20, 17]]
10: [[16, 1, 6], [8, 3], [5, 2, 7], [10, 4, 9], [11, 13, 12], [14, 15, 19], [18, 20, 17]]
11: [[16, 1, 6], [8, 3], [5], [2, 7, 10], [4, 9, 11, 13], [12, 14, 15], [19, 18, 20, 17]]
12: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4, 9], [11], [13, 12, 14], [15, 19, 18, 20, 17]]
13: [[16, 1, 6], [8, 3], [5, 2, 7], [10, 4, 9, 11], [13, 12, 14], [15, 19, 18, 20, 17]]
14: [[16, 1, 6], [8, 3], [5, 2], [7, 10], [4], [9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
15: [[16, 1, 6], [8, 3], [5, 2], [7, 10], [4], [9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
16: [[16, 1, 6], [8, 3], [5, 2], [7, 10], [4], [9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
17: [[16, 1, 6], [8, 3], [5, 2, 7, 10], [4, 9, 11, 13], [12, 14, 15, 19, 18, 20], [17]]
18: [[16, 1, 6], [8, 3], [5, 2, 7, 10, 4], [9], [11, 13, 12, 14], [15, 19], [18, 20, 17]]
19: [[16, 1, 6], [8, 3, 5], [2, 7], [10, 4], [9, 11, 13, 12], [14, 15], [19, 18, 20, 17]]
20: [[16, 1, 6], [8, 3], [5, 2, 7, 10, 4, 9], [11, 13, 12, 14, 15, 19, 18, 20, 17]]
21: [[16, 1, 6], [8, 3], [5, 2], [7, 10, 4, 9, 11], [13, 12, 14], [15, 19, 18, 20, 17]]
22: [[16, 1, 6], [8, 3], [5, 2], [7, 10, 4, 9], [11], [13, 12, 14, 15], [19, 18, 20, 17]]
23: [[16, 1, 6], [8, 3, 5], [2, 7, 10, 4], [9, 11], [13, 12, 14, 15], [19, 18, 20, 17]]
24: [[16, 1, 6], [8, 3, 5], [2, 7, 10], [4, 9], [11, 13, 12], [14, 15], [19, 18, 20], [17]]
25: [[16, 1, 6], [8, 3, 5, 2], [7, 10], [4], [9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
26: [[16, 1, 6, 8], [3], [5, 2, 7, 10], [4, 9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
27: [[16, 1, 6], [8, 3], [5, 2, 7], [10, 4, 9, 11], [13, 12, 14, 15, 19, 18, 20, 17]]
28: [[16, 1, 6], [8, 3, 5, 2, 7, 10, 4, 9, 11], [13, 12, 14, 15, 19, 18, 20, 17]]
29: [[16, 1, 6], [8, 3], [5, 2], [7, 10], [4, 9, 11, 13, 12, 14, 15, 19, 18, 20, 17]]
30: [[16, 1, 6], [8, 3, 5, 2], [7, 10], [4, 9, 11, 13, 12], [14, 15, 19, 18], [20, 17]]
31: [[16, 1, 6, 8, 3], [5, 2, 7], [10, 4, 9, 11], [13, 12, 14, 15, 19, 18], [20, 17]]
32: [[16, 1, 6], [8, 3], [5, 2], [7, 10], [4, 9, 11], [13, 12, 14], [15, 19, 18], [20, 17]]
33: [[16, 1, 6, 8], [3, 5], [2, 7, 10], [4, 9, 11, 13], [12, 14, 15], [19, 18, 20, 17]]
34: [[16, 1, 6], [8, 3, 5, 2], [7, 10, 4, 9, 11, 13], [12, 14, 15, 19, 18, 20, 17]]
35: [[16, 1, 6], [8, 3, 5], [2, 7], [10, 4, 9, 11], [13, 12, 14, 15], [19, 18, 20, 17]]
36: [[16, 1, 6], [8, 3], [5, 2], [7], [10, 4, 9, 11], [13, 12], [14, 15, 19, 18], [20, 17]]
37: [[16, 1, 6, 8], [3, 5, 2], [7, 10, 4], [9, 11], [13, 12], [14, 15], [19, 18, 20, 17]]
38: [[16, 1, 6, 8], [3, 5, 2, 7, 10, 4], [9, 11, 13, 12, 14, 15, 19, 18, 20, 17]]
39: [[16, 1, 6], [8, 3, 5, 2, 7], [10, 4, 9, 11, 13, 12, 14, 15, 19, 18, 20, 17]]
