0: [[35, 1, 7, 27, 2], [3, 13, 5, 6, 21], [4, 8, 11, 12, 9], [14, 15, 16, 10, 18], [31, 23, 17, 19, 20], [22, 26, 30, 28, 25], [29, 24, 40, 32, 37], [33, 50, 51, 36, 39], [42, 47, 34, 41, 45], [38, 43, 44, 46, 55], [49, 48, 52, 53, 57], [54, 56, 58, 59, 60]]
1: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4], [11, 9, 10, 12, 14, 29, 20, 17, 15], [16, 23, 18, 22, 28, 19, 25, 24, 30, 26, 31], [33, 34, 36, 32, 37], [40, 39, 38, 43, 42], [41, 47, 45, 44, 46, 51, 54], [49, 48, 55, 52, 53, 50, 57, 58, 59], [56, 60]]
2: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 14, 10, 15, 12, 18, 25, 23, 22, 17, 16, 24], [19, 29, 28, 26, 20, 31, 30, 33, 34, 32, 36, 37, 40, 38], [47, 39, 43, 42, 41, 45, 46, 44, 50], [48, 49, 55, 51, 52, 53, 54, 57, 56, 59, 60, 58]]
3: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 15, 14, 9], [10, 12, 16, 18, 23, 29], [17, 20, 19, 26], [22, 24, 25, 30, 28, 31], [33, 44, 32, 38, 36, 41, 34, 37, 46, 47, 42, 45, 39, 40, 43, 50], [52, 53, 51, 48, 59, 49, 55, 54, 56, 57, 58, 60]]
4: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 11, 14, 10, 18], [15, 12, 26, 17, 19, 23, 16, 20, 24], [22, 25, 28, 31, 30, 29, 32, 34, 33], [39, 37, 36, 38, 43, 41], [46, 40, 42, 44, 45, 58, 50, 48, 47, 52, 51], [53, 54, 60, 49, 57, 55, 59, 56]]
5: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 15, 10, 12, 14, 18, 17, 30], [16, 20, 28, 24, 22, 26], [23, 19, 25, 29, 31, 37], [34, 44, 38, 32, 36], [39, 40, 41], [33, 43, 42, 45, 46, 59], [50, 58, 53, 47, 54, 51, 48], [49, 52, 56, 55, 57], [60]]
6: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 15, 9, 10, 30, 11], [12, 14, 19, 16, 17, 18, 22, 20, 23, 24, 28, 25, 26, 29, 31, 37, 32, 33, 38, 36, 42, 46, 34, 40, 39, 41, 44, 43, 45, 47, 54, 48, 50], [49, 51, 52, 55, 53, 57, 56, 58, 59, 60]]
7: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 15, 9, 12, 10, 14, 18, 16, 30], [28, 23, 25, 17], [31, 20, 24, 22, 29, 19], [26, 33, 34, 36, 38, 37, 42, 39, 40, 41, 32, 43, 45, 47, 44, 46, 50], [48, 53, 55, 51, 59, 52, 54, 49, 56, 58, 57, 60]]
8: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 14, 15, 9, 10, 29, 20, 17, 31, 16, 19, 24, 12, 26, 18, 22, 23, 25, 28, 30, 37, 34, 33, 36, 38, 40, 39, 32, 42, 41, 46, 47, 43, 44, 45, 50, 56, 53, 51, 54, 59, 52], [55, 60, 58, 48, 49, 57]]
9: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 12, 11, 4, 10, 14, 9, 15, 18, 19, 30, 16, 23], [17, 20, 31, 22, 29, 24, 28], [25, 26, 37, 32, 33], [34, 44, 39, 40, 47, 36, 43, 38, 45], [42, 46, 41, 58, 48, 55], [51, 49, 54, 50, 52, 53, 59, 57, 60, 56]]
10: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4], [11, 14, 15, 29, 9, 12, 20, 17, 31, 10], [24, 28, 18, 16, 26, 22], [23, 25, 19, 30, 37, 32, 33, 34, 36, 42, 47, 40, 38, 41, 43, 45, 39], [44, 58, 52, 56, 46, 53, 48, 54, 55, 49, 50, 57], [51, 60, 59]]
11: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 10, 15, 14, 11, 12, 16, 17, 23, 19, 18, 30], [28, 20, 22, 25, 26, 24, 29, 31, 37, 42, 41, 34, 33, 32, 38, 39], [36, 45, 40, 43, 44, 46, 47, 50, 48, 49, 51, 55, 52, 53, 54, 56, 57, 59, 58, 60]]
12: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [12, 4, 11, 8, 10, 14, 9, 15, 18, 17, 30, 16, 19], [20, 22, 31, 23, 25, 29, 26, 24, 28, 37, 32, 33, 34, 40, 39, 44, 47, 36, 42, 38, 41, 43, 46, 45, 58, 48, 50, 51, 53, 54, 49, 52, 55, 57, 56, 59, 60]]
13: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 9, 14, 15, 12, 10, 11, 18, 16, 22, 17], [23, 20, 19, 25, 24, 26, 30, 29, 28, 31, 33, 32, 34, 38, 37, 36, 46], [42, 39, 40, 43, 41, 47, 44, 45, 54, 50, 53, 52], [48, 55, 51, 60, 56, 58, 49, 57, 59]]
