0: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8, 9, 11, 12, 14, 15, 16, 29, 17, 26, 18, 10], [22, 23, 24], [27, 19, 20, 25, 31, 30, 39, 32, 46, 33, 34, 44, 37, 41, 42, 38], [36, 43, 45, 51, 40, 54, 50, 56, 47, 53, 48, 52, 55, 59, 58], [49, 60, 57]]
1: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 30], [4, 8, 11, 9, 10, 14, 15], [12, 22, 18, 19, 16], [17, 23, 27, 24, 25, 20, 28, 31, 29, 26, 39, 44, 32, 33, 47, 38, 34, 36, 40, 42, 37, 41, 43, 45, 46, 56, 52, 53, 55, 48, 50, 51, 54, 59], [58, 57, 49, 60]]
2: [[35, 7, 2, 1], [11, 5, 13, 21, 6, 28], [4, 8, 3, 9, 14], [10, 12, 30, 23, 25, 18, 16, 19, 20, 15, 17, 22, 27, 24, 26, 29, 31, 37, 33, 38, 32, 34, 47, 45, 36, 40, 44, 41], [43, 39, 42, 46, 54], [48, 53, 55, 51], [49, 52, 59, 57, 50, 58, 56, 60]]
3: [[35, 7, 2, 1, 3], [5, 13, 21, 6, 24, 4, 8, 9, 11, 14, 10, 12, 15, 17], [22, 16, 29], [18, 23, 19, 20, 30, 25, 26, 27, 28, 31, 37, 32, 34, 36, 39, 33], [43, 44, 38, 47, 42, 40, 41, 45, 46, 54, 50], [53, 55, 52, 48, 56, 59, 51], [49, 58, 57, 60]]
4: [[35, 7, 2, 1], [3, 5, 13, 21, 22], [24, 4, 10, 11, 12, 6], [9, 8, 15, 14, 16, 18], [23, 25, 19, 28, 31, 17, 20, 27, 26, 29, 30, 39, 32, 41, 36, 38, 34, 33, 43, 46, 37, 40, 45, 44, 42, 60, 55, 59, 53, 47], [52, 49, 51, 48, 50, 54, 58, 56, 57]]
5: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8, 9, 11, 10, 14, 12, 18, 31, 15, 16, 17, 20], [23, 22, 27], [24, 19, 26, 25, 29, 30, 39, 32, 42, 36, 34], [40, 37, 43, 47, 33], [38, 41, 45, 59, 44, 54], [50, 58, 46, 51, 52, 48, 55, 53, 56, 49, 57, 60]]
6: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 24, 4, 8, 11, 9, 10, 14, 12, 26], [17, 15, 16], [19, 22, 20, 18, 29, 23, 25, 31, 28, 27, 30, 37, 32, 33, 34, 47], [38, 36, 40, 39, 41, 42, 43, 46, 44, 54, 58, 48, 45, 50, 51], [49, 55, 52, 53, 56, 59, 57, 60]]
7: [[35, 7, 2, 1, 11], [5, 13, 21, 6], [24, 4, 12, 3, 9], [8, 14, 10, 15, 16, 22, 31, 18, 23, 17, 19], [26, 20, 25, 27, 29, 30, 28, 37, 33, 36, 38, 46, 39, 42, 47, 32, 34, 44, 41, 40, 45, 43, 49, 48, 50, 53, 52, 54, 59, 56, 55, 57, 51, 58, 60]]
8: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 12, 11, 9], [14, 8, 10, 15, 18, 25, 16, 19, 22, 17, 27, 20, 26], [23, 29, 31, 28, 30, 37], [40, 41, 36, 46, 42, 34, 32, 33, 38, 39, 43], [45, 44, 47, 50, 48], [52, 51, 54, 49, 53, 55, 60, 57, 58, 56, 59]]
9: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 11, 9], [14, 10, 12, 15, 18, 25, 22, 19, 20, 17], [16, 29, 23, 31, 27, 26, 28, 30, 37], [32, 33, 36, 34, 39, 41, 47, 42], [46, 44, 43, 38, 40, 45], [50, 60, 53, 48, 52], [51, 49, 56, 54, 57, 55, 58, 59]]
10: [[35, 7, 2, 1], [11, 5, 13, 20, 6], [3, 4, 8, 9, 10, 12, 14, 15, 17, 16, 23, 18, 19, 28], [24, 31, 25], [21, 27, 22, 26, 29, 30, 37, 36, 38, 33, 32, 42, 39, 40, 34, 46], [43, 47, 45, 44, 41], [48, 50, 53, 51, 55], [52, 54, 56, 58], [57, 49, 60, 59]]
11: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [8, 12, 10, 4, 11, 9, 15, 14, 31, 20, 24, 16, 18], [17, 23, 19, 22, 25, 30, 26, 27, 29, 28, 37, 32], [44, 33, 34, 36, 45, 42, 38, 46, 41, 39, 40, 43, 48, 54, 47, 57, 51, 55, 49, 52, 50, 53, 60, 59, 58, 56]]
12: [[35, 7, 2, 1], [3, 5, 13, 26, 21, 6], [4, 12, 11, 9, 8, 14], [27, 24, 15, 16, 18, 10], [22, 17, 19, 28, 23, 29, 30, 31, 20, 25, 37, 34, 42, 33, 45, 46, 38, 36, 39, 32, 40, 44, 43, 41, 54, 47, 52, 49, 51, 53, 55, 57, 50, 48], [58, 56, 59, 60]]
13: [[35, 7, 2], [1, 3, 5, 13, 21, 6], [24, 4, 8, 11, 9, 10, 14, 12, 15], [17, 22, 27, 18, 16, 19, 23], [26, 20, 25, 30], [29, 31, 28], [39, 37, 34, 33, 47, 36], [42, 32, 41, 38, 40], [45, 43, 44, 60, 46, 52, 57, 49], [50, 55, 51, 48, 53], [54, 58, 56, 59]]
14: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 11, 9, 14], [10, 12, 15, 20, 17, 18, 19, 30, 16, 25, 31, 22, 23, 28, 26, 27, 29, 37, 32, 36, 33, 42, 43, 34, 41, 40, 39], [46, 47, 38, 44, 45, 50, 52, 49, 53, 48, 51, 55, 57, 60, 54, 59, 58, 56]]
15: [[35, 7, 2, 1], [11, 5, 13, 21, 6], [30, 4, 8], [3, 9, 14], [10, 12, 15, 24, 31, 27, 26, 18, 23, 20, 16, 22, 17, 19, 25, 29], [28, 37, 33, 38, 36], [46, 41, 39, 34, 43, 40, 42, 47, 44, 45, 50, 51, 53], [55, 32], [48, 57, 54, 58, 52, 49, 56, 59, 60]]
16: [[35, 7, 2, 1], [11, 5, 13, 21, 6, 24], [4, 8, 9, 3, 15], [10, 14, 12, 19, 16], [18, 17, 23, 27, 26, 20, 29], [25, 28, 22, 30, 31], [37, 38, 32, 41, 34], [33, 39, 36, 45, 47], [42, 43, 40, 44, 46, 54, 48], [49, 50, 51, 60, 52, 53, 59, 55, 57, 56, 58]]
17: [[35, 7, 2, 1], [3, 5, 13, 21, 6, 24, 4, 8, 11, 9, 14, 10, 15, 30], [31, 18, 19, 27, 12, 16, 17, 20, 23, 25, 22, 29, 26, 28, 39, 32, 46, 33, 37, 36, 34, 41, 38, 44, 42, 43, 40], [45, 47, 57, 53, 48, 54, 55, 49, 50, 58, 51, 52, 56, 59, 60]]
18: [[35, 7, 2, 1], [3, 5, 13, 21, 14, 24, 4, 8, 11, 6, 10, 9, 12, 15], [26, 17, 18, 19, 16, 20, 22, 27, 23, 25, 28, 30, 29, 31, 39, 40], [32, 36, 37, 34, 33], [38, 42, 46, 45, 47, 41], [43, 50, 54, 55, 44, 48], [53, 49, 51, 52, 57, 59, 58, 56, 60]]
19: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8, 9, 11, 14, 10, 15, 26, 25, 27, 17, 12, 16], [31, 18, 19], [20, 22, 23], [24, 30, 29, 37, 33, 46, 32, 34, 39, 36, 40, 42, 41, 38, 45, 43], [47, 59, 50, 44, 52], [48, 54, 49, 53, 55, 51, 57, 56, 58, 60]]
20: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [30, 4, 8, 11], [9, 12, 14, 10, 16, 15, 17, 18, 19], [22, 23, 31, 20, 26, 27, 29, 24, 25, 28, 36, 33, 39, 34, 32, 38, 37, 40, 41, 43, 42, 45, 44, 51, 54, 46, 52, 48, 47, 49, 59, 53, 55, 58, 56, 50, 57, 60]]
21: [[35, 7, 2, 1], [3, 5, 13, 21], [6, 24, 4, 8], [9, 17, 10, 15, 12], [11, 30, 14, 18, 16], [20, 19, 22, 27, 23], [28, 25, 26, 31, 29, 37, 32, 34, 33, 36, 44, 47, 38], [43, 39, 41, 42, 40], [46, 56, 50, 45], [48, 52, 53, 49, 54, 51, 55, 58, 57, 60, 59]]
22: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8], [11, 9, 12, 10], [14, 15, 30, 25, 27], [17, 22, 26, 20, 16, 18, 19, 23, 24, 29, 31, 37, 32, 46, 33], [34, 40, 36, 44, 43, 38, 45, 39, 41, 42], [47, 50, 49, 51, 48, 53, 52, 55, 58, 54, 57, 56, 59, 60]]
23: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [24, 4, 8, 11, 9, 14, 10, 15, 12, 17, 16, 19, 18, 25, 27, 22, 28, 20, 26, 29, 30, 23], [31, 37, 40, 36, 33], [34, 41, 32, 38, 42, 39, 43, 45, 44, 47, 46, 50, 49, 48, 55, 52, 51, 54, 56, 57, 53, 58, 59, 60]]
24: [[35, 7, 2, 1], [3, 5, 13, 21, 6], [28, 4, 8, 11, 9, 12, 15, 10, 14, 20], [17, 16, 18, 22], [23, 27, 19, 25, 24], [29, 30, 26, 31, 39, 34, 33, 32, 42, 37, 36], [40, 46, 38, 44, 41, 43, 45, 53, 55, 48, 56, 49, 51, 47, 50, 60, 58, 52, 54, 59, 57]]
