0: [[3, 1, 8, 2, 6, 5, 7, 10, 9], [14, 4], [13, 11, 12], [16, 17, 20, 19, 18, 15]]
1: [[9, 3, 1, 8, 2, 6, 5, 7, 10], [14, 4], [13, 11, 12], [16, 17, 20, 19, 18, 15]]
2: [[9, 3, 1, 8, 2, 6, 5, 7, 10], [14, 4], [13, 11, 12], [16, 17, 20, 19, 18, 15]]
3: [[9, 3, 1, 8, 2, 6, 5, 7, 10], [14, 4], [13, 11, 12], [16, 17, 20, 19, 18, 15]]
4: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 14, 4], [13, 11, 12], [15, 16, 17, 20, 19, 18]]
5: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 14, 4], [13, 11, 12], [15, 16, 17, 20, 19, 18]]
6: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 14, 4], [13, 11, 12], [15, 16, 17, 20, 19, 18]]
7: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 14, 4], [13, 11, 12], [15, 16, 17, 20, 19, 18]]
8: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 14, 4], [13, 11, 12], [15, 16, 17, 20, 19, 18]]
9: [[3, 9], [1, 8, 2, 6, 5, 7, 10], [14, 13, 11, 12, 15, 16, 4], [17, 20, 19, 18]]
10: [[3, 9], [1, 8, 2, 5, 7, 10, 6], [4, 14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
11: [[9, 3, 1, 8, 2, 5, 7, 10, 6], [14, 4], [13, 11, 12, 15], [16, 17, 20, 19, 18]]
12: [[3, 9], [1, 8, 2, 5, 7, 10, 4, 6], [14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
13: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 4, 14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
14: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 4, 14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
15: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 4, 14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
16: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 4, 14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
17: [[3, 9], [1, 8, 2, 6, 5, 7, 10, 4, 14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
18: [[3, 1, 8, 2, 6, 5, 7, 10, 4, 9], [14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
19: [[3, 1, 8, 2, 6, 5, 7, 10, 4, 9], [14, 13], [11, 12], [15, 16, 17, 20, 19, 18]]
20: [[3, 9], [1, 8, 2], [5, 7, 10, 4, 14, 13, 11, 6], [12, 15, 16, 17, 20, 19, 18]]
21: [[1, 9, 3], [8, 2], [6, 5, 7, 10, 4, 14, 13], [11, 12, 15, 16, 17, 20, 19, 18]]
22: [[3], [1, 8, 2], [5, 7, 10, 4, 14, 13, 11, 12, 9, 6], [15, 16, 17, 20, 19, 18]]
23: [[3, 1, 9], [8, 2, 6, 5, 7, 10, 14, 4], [13, 11], [12, 15, 16, 17, 20, 19, 18]]
24: [[3, 1, 8], [2, 6], [5, 7, 10, 4, 14, 13, 11, 12, 15, 9], [16, 17, 20, 19, 18]]
25: [[3, 1, 8], [2, 6], [5, 7, 10, 4, 14, 13, 11, 12, 15, 9], [16, 17, 20, 19, 18]]
26: [[3, 9], [1, 8, 2, 5, 7, 10, 4, 14, 6], [13, 11, 12, 15], [16, 17, 20, 19, 18]]
27: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 6], [12, 15, 16, 17, 20, 19, 18]]
28: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 6], [12, 15, 16, 17, 20, 19, 18]]
29: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 6], [12, 15, 16, 17, 20, 19, 18]]
30: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 6], [12, 15, 16, 17, 20, 19, 18]]
31: [[3, 1, 8, 2, 5, 7, 9, 6], [10, 4], [14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
32: [[3, 1, 8, 2, 5, 7, 9, 6], [10, 4], [14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
33: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 12, 6], [15, 16, 17, 20, 19, 18]]
34: [[3, 1, 9], [8, 2], [5, 7, 10, 4, 14, 13, 11, 12, 6], [15, 16, 17, 20, 19, 18]]
35: [[3, 1, 8, 2, 5, 7, 10, 4, 9, 6], [14, 13], [11, 12, 15], [16, 17, 20, 19, 18]]
36: [[3, 1, 8, 2, 5, 7, 10, 4, 9, 6], [14, 13], [11, 12, 15], [16, 17, 20, 19, 18]]
37: [[3, 1, 9], [8, 2, 5, 7, 10, 4, 14, 13, 11, 6], [12, 15], [16, 17, 20, 19, 18]]
38: [[3, 1, 8, 9], [2, 6], [5, 7, 10, 4, 14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
39: [[3, 1, 8, 9], [2, 6], [5, 7, 10, 4, 14, 13, 11, 12], [15, 16, 17, 20, 19, 18]]
40: [[3, 9, 6], [1, 8, 2, 5, 7, 10, 4, 14, 13, 11], [12, 15], [16, 17, 20, 19, 18]]
41: [[9, 3], [1, 8], [2, 6, 5, 7, 10, 4, 14, 13, 11], [12, 15, 16, 17, 20, 19, 18]]
