0: [[10, 2, 1, 19, 4], [6, 15, 9, 8, 5], [11, 7], [12, 14, 13], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
1: [[1, 10, 2, 19, 4], [6, 5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
2: [[1, 10, 2, 19, 4], [6, 5, 15, 9, 8], [11, 7], [13, 12], [14, 17, 16, 20, 18, 22, 3], [21, 23, 24]]
3: [[19, 4], [3, 1, 10, 2, 6], [5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
4: [[19, 4], [3, 1, 10, 2, 6], [5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
5: [[19, 4, 3, 1], [10, 2], [6, 5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
6: [[19, 4, 3, 1], [10, 2], [6, 5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
7: [[19, 4, 3, 1], [10, 2], [6, 5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
8: [[19, 4, 3, 1], [10, 2], [6, 5, 15, 9, 8], [11, 7], [13, 12], [14, 17, 16, 20, 18, 22], [21, 23, 24]]
9: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22], [21, 23, 24]]
10: [[1, 10, 19], [2, 6, 5, 15, 4], [9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
11: [[1, 10, 19], [2, 6, 5, 15, 4], [9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
12: [[1, 10, 2, 6, 19, 4], [5, 15, 9, 8], [11, 7], [13, 12, 14, 17, 16, 20], [18, 22, 3], [21, 23, 24]]
13: [[1, 10, 2, 6, 19, 4], [5, 15, 9, 8], [11, 7], [13, 12, 14, 17, 16, 20], [18, 22, 3], [21, 23, 24]]
14: [[19, 4], [3, 1, 10, 2, 6], [5, 15, 9, 8], [11, 7], [13, 12], [14, 17, 16, 20, 18], [22, 21, 23, 24]]
15: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8], [11, 7], [13, 12, 14], [17, 16, 20, 18], [22, 21, 23, 24]]
16: [[1], [10, 2, 6, 5, 15, 4], [9, 8, 19], [11, 7], [13, 12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
17: [[1, 10, 19, 4], [2, 6, 3], [5, 15, 9, 8], [11, 7, 13, 12], [14, 17, 16, 20, 18, 22], [21, 23, 24]]
18: [[1, 10, 2, 6, 5, 19, 3], [15, 9, 8], [11, 7, 13, 12], [14, 17, 16, 20], [18, 22, 4], [21, 23, 24]]
19: [[1, 10, 19], [2, 6, 5, 15, 4], [9, 8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
20: [[1, 10, 19], [2, 6, 5, 15, 4], [9, 8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
21: [[1, 10, 19], [2, 6, 5, 15, 4], [9, 8, 11, 7, 13], [12, 14], [17, 16, 20, 18, 22, 3], [21, 23, 24]]
