0: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [8, 6, 11, 10, 12], [13, 14], [17, 18, 15], [20, 25], [23, 28, 24, 22], [21, 27, 26, 29]]
1: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [6, 11, 12, 13, 15, 22, 17, 20, 24, 23, 18, 8, 10, 14], [21, 29, 27, 26], [28, 25]]
2: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [6, 8, 10, 11, 12, 13, 14], [15, 18, 17, 20], [22, 23, 29, 24, 28], [21, 27, 25, 26]]
3: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 8, 10, 15, 12, 13], [14, 11, 17, 18], [20, 22, 23, 29, 28], [24, 21, 26, 25, 27]]
4: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 8], [10, 11, 12, 13, 14, 15, 18, 17, 20, 22, 23, 25, 28, 29], [21, 26, 24, 27]]
5: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6, 10, 15, 14, 13, 12], [11, 29, 17, 22, 18, 20, 23], [21, 25, 26, 28, 24, 27]]
6: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 14, 8], [10, 6, 12, 13, 11, 15, 18, 17, 20, 26, 23, 24, 22, 29], [21, 27, 25, 28]]
7: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 8, 10, 14, 12, 13], [15, 11, 17, 18], [20, 23, 22, 21, 24, 25, 27, 28, 26, 29]]
8: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6, 10, 15, 11], [13, 12, 14, 20, 22, 23], [17, 18, 21, 24, 26, 27, 29, 25, 28]]
9: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 14], [11, 8, 10, 28, 13, 12, 15], [17, 21, 22, 18, 20, 24, 23], [25, 27, 29, 26]]
10: [[19, 7, 5, 9, 16], [1, 2, 3, 4, 6, 10, 11, 14, 8, 12, 13, 15, 21, 22, 18, 17, 20, 23, 25], [24, 26, 27, 28, 29]]
11: [[19, 7, 5, 9, 16, 1], [2, 3, 6, 10, 14, 11], [4, 12], [13, 8, 18, 28, 15, 21, 17], [22, 20, 25, 23], [24, 27, 26, 29]]
12: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6], [10, 15, 11, 13, 14, 29, 12], [18, 21, 23, 17, 20, 24, 22], [25, 26, 27, 28]]
13: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6, 10, 15, 12], [13, 14, 11, 25, 17, 22], [18, 20, 21, 23, 27, 26, 28, 24, 29]]
14: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 12, 6], [10, 15, 8, 13, 11, 14, 18, 17, 22, 20, 23, 21, 29, 25, 26, 24, 28, 27]]
15: [[19, 7, 5, 9, 16, 1, 2, 3, 4, 8, 6, 10, 14, 13, 12, 11, 15, 17], [21, 20, 22, 23], [18, 27, 24, 26, 25, 28, 29]]
16: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6, 11, 12, 13], [10, 15, 14, 17, 21, 18], [20, 23, 22, 27, 24, 26, 25], [28, 29]]
17: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8, 6], [11, 14, 10, 13, 12, 15, 20, 17, 21, 24, 23, 18, 22, 29, 27, 28, 26, 25]]
18: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 10], [11, 12, 8, 13, 14, 15, 18, 17, 20, 26, 23, 25, 22, 29, 21, 27, 24, 28]]
19: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 6, 12, 10, 8, 11, 29], [13, 14, 23], [17, 28, 15, 22, 18, 24, 20, 21, 27, 25, 26]]
20: [[19, 7, 5, 9], [16, 1, 6, 3, 2, 10, 8, 11, 4, 12, 13, 14, 29, 21, 15, 22, 17, 18, 28, 25, 20, 24], [23, 26, 27]]
21: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [8, 6, 11, 10, 14, 13, 12], [15, 18, 21, 20, 26, 22, 27, 23], [29, 17, 25, 24, 28]]
22: [[19, 7, 5, 9], [16, 1, 2, 3, 4, 6, 8, 14, 11, 12, 13, 10, 23, 18], [17, 20, 22, 15], [29, 24, 21, 25, 27, 26, 28]]
23: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [12, 6, 11, 10], [8, 13, 14, 15], [26, 27, 28, 17, 23, 22, 24, 20, 21, 18, 25, 29]]
24: [[19, 7, 5, 9, 16, 1, 6], [3, 2, 12, 14, 11, 8, 4], [13, 10], [15, 21, 22, 17, 20, 18, 25, 29], [23, 26, 24, 27, 28]]
25: [[19, 7, 5, 9, 16], [1, 2, 3, 4, 10, 6, 8, 14], [11, 13, 12, 17, 15], [26, 20, 18, 22, 24, 28, 21, 29, 23, 27, 25]]
26: [[19, 7, 5, 9], [16, 1, 2, 3, 4, 6, 8, 11, 15, 10, 12], [29, 13, 28, 23], [18, 17, 22, 20, 24, 21, 25, 27, 26, 14]]
27: [[19, 7, 5, 9, 16], [1, 2], [3, 4, 12], [6, 10], [8, 11, 13, 14], [15, 18, 17, 20], [27, 23, 29, 28, 22, 21, 24, 26, 25]]
28: [[19, 7, 5, 9, 16, 1, 10], [3, 4, 12, 8, 6, 11, 2, 29, 13], [14, 22, 15, 17, 27, 18, 20, 24], [21, 23, 28], [25, 26]]
29: [[19, 7, 5, 9, 16, 1], [2, 3, 4, 12, 14], [6, 15, 8, 13, 10], [18, 25, 21, 20], [11, 17, 23, 26, 22], [24, 27, 28, 29]]
30: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 14, 6], [10, 8, 11, 29, 15, 12, 22, 17, 28, 26, 13, 18, 24, 21, 20, 27, 23, 25]]
31: [[19, 7, 5, 9, 16], [1, 2], [3, 4, 8, 6, 11], [14, 10], [13, 12, 15], [18, 22, 21], [17, 20, 24, 23, 28], [29, 25, 26, 27]]
32: [[19, 7, 5], [9, 16, 1, 2], [3, 4, 8], [6, 10, 15, 12], [13, 14, 25], [11, 18, 20], [21, 17, 23, 22], [29, 24, 27, 26, 28]]
33: [[19, 7, 5, 9, 16, 1, 10], [3, 4, 8, 6, 11, 14, 2, 13], [12, 15, 18, 22, 21, 17, 23, 28, 24, 20, 25, 26, 27, 29]]
34: [[19, 7], [5, 9, 16], [1, 2], [3, 4, 8, 6], [11, 10, 12, 13], [14, 25, 20, 15, 18, 17, 23, 24, 21, 22, 29, 27, 26, 28]]
35: [[19, 7, 5, 9, 16, 1, 2], [3, 4], [6, 8, 10, 15, 13, 11], [14, 12, 17, 18, 21], [22, 20, 27, 24], [26, 29, 23, 25, 28]]
36: [[19, 7, 5, 9, 16, 1, 2], [3, 4, 8], [6, 11, 10], [14, 12, 13], [27, 20, 23, 15, 17], [18, 22, 28, 21, 24, 29, 26, 25]]
37: [[19, 7], [5, 9, 16, 1], [2, 3, 4, 14, 6, 11, 8, 10, 13, 12, 15, 29, 18, 20, 17, 22, 21, 23, 24, 25, 26, 27, 28]]
38: [[19, 7, 5, 9, 16, 1], [2, 3, 4, 6, 8, 10, 13], [11, 14, 12, 15, 20], [17, 22, 26, 18, 21, 25, 24], [23, 27, 28, 29]]
39: [[19], [7, 5, 9, 16, 1, 2, 3, 4, 6, 10, 14, 15, 12, 8, 11, 13, 18, 23, 20, 21, 22, 24, 17, 25, 27, 28, 26], [29]]
40: [[19, 7], [5, 9, 16, 1, 2, 3], [4, 8, 6, 11, 14, 10, 13], [12, 15, 21, 18, 17, 20, 22], [23, 25, 24, 26, 27, 29, 28]]
41: [[19, 7, 5], [9, 16, 1, 2, 3], [4, 8, 6, 11, 10, 14], [13, 12, 25, 20, 15, 21, 17], [22, 28, 24, 18], [29, 27, 26, 23]]
42: [[19, 7, 5], [9, 16, 1, 6], [3, 2, 12, 14, 11], [4, 8, 13, 10, 15, 18], [17, 20], [24, 22], [23, 28, 21, 26, 27, 25, 29]]
