0: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 15, 8], [5, 10, 6, 24, 17, 20, 18, 22, 16, 23, 28, 14], [26, 27, 25, 21, 29]]
1: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 15, 8], [5, 10, 6, 24, 17, 20, 18, 22, 16, 23, 28, 14], [26, 27, 25, 21, 29]]
2: [[9, 2, 1, 19, 7], [11, 3, 4, 12, 13, 15, 8], [5, 10, 6, 24, 17, 20, 18, 22, 16, 23, 28, 14], [26, 27, 25, 21, 29]]
3: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 5, 8, 14], [10, 6, 12, 24, 16, 17, 18, 23, 20, 28, 22, 15], [21, 27, 25, 29, 26]]
4: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 10, 14], [6, 22, 12, 13, 28, 18, 23, 16, 17, 24, 20, 15, 8], [21, 27, 29, 25, 26]]
5: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 10, 14], [6, 22, 12, 13, 28, 18, 23, 16, 17, 24, 20, 15, 8], [21, 27, 29, 25, 26]]
6: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 10, 14], [6, 22, 12, 13, 28, 18, 23, 16, 17, 24, 20, 15, 8], [21, 27, 29, 25, 26]]
7: [[9, 2, 1, 19, 7], [11, 3, 4, 6, 5, 8, 14, 12], [15, 20, 25, 29, 16, 18, 22, 13, 24, 17, 10], [27, 21, 23, 26, 28]]
8: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 10, 14], [6, 8, 20, 25, 13, 22, 23, 15, 16, 17, 18, 28, 12], [21, 24, 29, 27, 26]]
9: [[9, 2, 17, 19, 3], [11, 1, 4, 13, 15, 8, 6, 12], [5, 16, 28, 18, 22, 7, 20, 25, 24, 10, 14], [27, 23, 26, 21, 29]]
10: [[9, 2, 3, 23, 7], [11, 1, 4, 5, 6, 10, 8], [13, 22, 28, 12, 17, 16, 18, 19, 20, 24, 15, 14], [21, 29, 25, 26, 27]]
11: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 6, 8, 10, 12], [5, 16, 29, 20, 15, 17, 21, 22, 18, 23, 14], [25, 27, 24, 28, 26]]
12: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 15, 5, 10, 14], [16, 8, 21, 25, 18, 20, 22, 17, 24, 6, 12], [27, 23, 29, 28, 26]]
13: [[9, 2, 1, 19, 7], [11, 3, 4, 5, 6, 12], [13, 8, 29, 21, 16, 18, 23, 20, 17, 15, 22, 10, 14], [26, 27, 24, 25, 28]]
14: [[9, 2, 1, 19, 7], [11, 3, 4, 13, 5, 8, 10], [15, 6, 24, 17, 29, 18, 21, 16, 22, 20, 12, 14], [27, 23, 25, 28, 26]]
15: [[9, 2, 17, 19, 7], [11, 3, 4, 5, 6, 8], [1, 15, 13, 20, 23, 22, 16, 18, 29, 21, 10, 12, 14], [24, 27, 25, 28, 26]]
16: [[9, 2, 17, 19, 1], [11, 3, 4, 13, 6, 8, 14, 12], [5, 20, 7, 25, 29, 18, 22, 16, 23, 27, 10], [21, 15, 24, 26, 28]]
