0: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 39, 42], [36, 44, 43], [40, 45, 47], [52, 48, 49, 53, 58, 54, 62, 57, 59, 56, 61], [55, 63, 66, 76, 67], [65, 68, 64, 69, 75, 70], [77, 72, 73, 74, 78], [79, 82], [81, 84, 80, 87, 83, 85], [86, 88]]
1: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 39, 42], [36, 44, 43], [40, 45, 47], [52, 48, 49, 53, 58, 54, 62, 57, 59, 56, 61], [55, 63, 66, 76, 67], [65, 68, 64, 69, 75, 70], [77, 72, 73, 74, 78], [79], [82, 81], [84, 80, 87], [83, 85, 86, 88]]
2: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 39, 42], [36, 44, 43], [40, 45, 47], [52, 48, 49, 53, 58, 54, 62, 57, 59, 56, 61], [55, 63, 66, 76, 67], [65, 68, 64, 69, 75, 70], [77, 72, 73, 74, 78], [79], [82, 81], [84, 80, 87], [83, 85, 86, 88]]
3: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18], [25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 36, 42, 39], [44, 43, 40], [45, 47, 52], [48, 49, 53, 58, 54], [62, 57, 59], [56, 61, 55], [63, 66, 76, 67, 65, 68, 64], [69, 75, 70, 77], [72], [73, 74], [78, 79, 82], [81, 84], [80, 87, 83], [85, 86, 88]]
4: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 39, 42], [36, 44, 43], [40, 45, 47], [52, 48, 49, 53, 58, 54], [62, 57, 59, 56], [61, 55, 63, 66], [76, 67, 65, 68, 64], [69, 75, 70, 77, 72, 73, 74, 78, 79, 82], [81, 84], [80, 87, 83, 85, 86, 88]]
5: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25], [23, 31], [26], [24, 27], [29, 28, 30, 51, 33, 35], [32, 46, 34], [38], [36, 42], [39, 44, 43], [40, 45], [47, 52], [48, 49, 53, 58, 54, 62], [57, 59], [56, 61, 55, 63, 66, 76], [67], [65, 68, 64], [69, 75, 70, 77, 72, 73], [74, 78], [79, 82, 81], [84, 80, 87, 83, 85, 86, 88]]
6: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25], [23, 31], [26], [24, 27], [29, 28, 30, 51, 33, 35], [32, 46, 34], [38], [36, 42], [39, 44, 43], [40, 45], [47, 52], [48, 49, 53, 58, 54, 62], [57, 59], [56, 61, 55, 63, 66, 76], [67], [65, 68, 64], [69, 75, 70, 77, 72, 73], [74, 78], [79, 82, 81], [84, 80, 87, 83, 85, 86, 88]]
7: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22, 20], [21, 17], [16], [18], [25, 23], [31, 26, 24, 27, 29, 28], [30, 51, 33, 35, 32], [46], [34, 38, 39, 42, 36, 44], [43, 40, 45, 47, 52, 48], [49, 53, 58, 54, 62, 57], [59, 56, 61, 55], [63, 66, 76, 67], [65, 68, 64], [69, 75, 70], [77, 72, 73, 74, 78, 79], [82], [81, 84, 80, 87, 83, 85, 86, 88]]
8: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20, 21, 17, 16], [18, 25, 23, 31, 26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38], [36, 42], [39, 44, 43, 40, 45, 47], [52, 48, 49, 53], [58, 54, 62, 57, 59, 56, 61, 55, 63, 66, 76, 67, 65, 68, 64, 69, 75], [70, 77, 72, 73, 74, 78], [79, 82, 81, 84, 80, 87, 83, 85, 86, 88]]
9: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22, 20, 21], [17], [16, 18], [25, 23, 31, 26, 24, 27, 29], [28, 30, 51, 33, 35, 32], [46], [34, 38, 39, 42], [36, 44, 43, 40, 45, 47, 52], [48, 49, 53, 58, 54, 62], [57, 59, 56, 61, 55, 63, 66], [76, 67, 65], [68], [64, 69], [75, 70, 77], [72, 73], [74, 78], [79, 82], [81, 84, 80, 87, 83, 85], [86, 88]]
10: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20, 21, 17, 16, 18], [25, 23], [31, 26, 24, 27, 29, 28], [30, 51, 33, 35], [32], [46, 34, 38, 39, 42], [36, 44, 43, 40, 45], [47, 52, 48, 49, 53, 58, 54, 62], [57, 59, 56, 61, 55, 63, 66, 76, 67, 65, 68, 64, 69, 75, 70, 77, 72, 73, 74, 78, 79, 82, 81, 84, 80, 87, 83, 85, 86, 88]]
11: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22, 20], [21, 17], [16], [18], [25, 23], [31, 26, 24, 27, 29, 28], [30, 51, 33, 35, 32], [46], [34, 38, 39, 42, 36, 44], [43, 40, 45, 47, 52, 48], [49, 53], [58, 54, 62, 57, 59, 56], [61, 55, 63, 66], [76], [67, 65, 68, 64, 69], [75, 70, 77, 72, 73, 74], [78, 79, 82, 81, 84, 80, 87, 83, 85, 86, 88]]
12: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20], [21, 17], [16, 18, 25], [23, 31], [26], [24, 27], [29, 28, 30, 51, 33, 35], [32, 46, 34], [38], [36, 42], [39, 44, 43], [40, 45], [47, 52], [48, 49, 53, 58, 54, 62], [57, 59, 56, 61, 55], [63], [66, 76], [67, 65, 68, 64, 69, 75], [70], [77, 72, 73], [74, 78], [79, 82, 81], [84, 80, 87], [83, 85], [86, 88]]
13: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22], [20, 21, 17, 16, 18], [25], [23, 31], [26, 24, 27], [29, 28], [30, 51, 33, 35, 32, 46], [34, 38, 36, 42, 39, 44, 43], [40, 45], [47], [52, 48], [49, 53, 58, 54, 62, 57], [59, 56, 61, 55, 63], [66, 76], [67], [65, 68], [64, 69, 75, 70, 77, 72], [73], [74, 78, 79], [82, 81, 84, 80, 87, 83, 85, 86, 88]]
14: [[19, 41, 71, 1, 60, 50, 15], [37, 7], [2], [3, 4], [5, 8, 6, 9, 11, 10], [13, 14, 12, 22, 20], [21, 17], [16], [18, 25, 23, 31, 26, 24, 27], [29, 28, 30, 51, 33], [35, 32], [46, 34, 38, 36, 42, 39, 44], [43, 40, 45, 47, 52, 48, 49, 53, 58, 54, 62, 57, 59, 56], [61, 55, 63, 66, 76, 67, 65, 68, 64, 69, 75, 70, 77, 72, 73, 74, 78, 79, 82, 81, 84, 80, 87, 83, 85, 86, 88]]
