0: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 26, 9, 25, 11, 21, 6], [30, 15, 12, 24, 31, 29, 14, 23, 16, 10], [17, 19, 20, 22, 27, 28, 50, 55, 32, 33], [42, 38, 44, 37, 34, 36, 39, 47, 45], [40, 41, 43, 18], [54], [57, 49], [46, 48], [52, 56, 59, 51, 53, 58, 60]]
1: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 26, 9, 25, 11, 21, 6], [30, 15, 12, 24, 31, 29, 14, 23, 16, 10], [17, 19, 20, 22, 27, 28, 50, 55, 32, 33], [42, 38, 44, 37, 34, 36, 39, 47, 45], [40, 41, 43, 18], [54], [57, 49], [46, 48], [52, 56, 59, 51, 53, 58, 60]]
2: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 11, 14, 27], [9, 12, 15, 18, 10, 31, 17, 23, 19], [22, 16, 28, 25], [30, 20, 24, 26, 29, 32, 36, 33, 39], [34, 37, 44, 42, 38, 41, 40, 47, 43], [46, 58], [45, 52, 51], [49, 48, 53, 59, 55, 54, 57, 50, 56, 60]]
3: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 6, 5], [27, 11], [9, 10, 15, 12, 14, 19, 29, 17, 31, 18, 22, 20, 23, 16, 24, 28, 25, 56, 26, 32, 40, 33, 36, 34, 42, 30, 46, 37, 39, 38, 45, 43, 44, 41, 57, 48, 50, 51, 47, 49, 53, 54, 55, 59, 52, 60, 58]]
4: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 25, 11, 19], [10, 29, 30, 15], [22, 14, 9, 12, 23, 16, 24, 17], [20, 26, 18, 27, 28], [31, 53, 32, 33, 34, 36, 44, 37], [46, 39, 41, 43, 45, 42, 47, 40], [38, 60, 48, 51, 52, 50, 55], [54, 57, 49, 56, 58, 59]]
5: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6, 11, 15, 30, 9, 10, 12, 14, 22, 19, 18, 16, 24, 27, 28, 23, 17, 26, 60, 20, 29, 25, 33, 32, 31, 38, 48, 36, 34, 46, 37, 39, 40, 45, 41], [42, 43, 59, 44, 50, 55, 52, 51, 53], [54, 47, 56, 49, 57, 58]]
6: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 6], [5, 14, 9, 18], [11, 26, 28, 15, 12, 22, 19, 16, 10], [17, 23], [20, 25], [24, 27, 29, 31, 30, 33, 32, 36, 37], [34, 40, 44, 38, 41, 46, 42, 39, 47], [43, 50, 55, 54, 45], [51, 48, 49, 52, 53, 56, 57, 58, 59, 60]]
7: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5, 6, 11], [14, 30, 9, 10, 12, 15, 18, 31, 16, 17, 27], [19, 20, 22, 25, 23, 24, 26, 28, 29, 37, 33, 32, 38, 48, 34, 39, 40, 45, 47, 36, 44, 41, 46, 43, 58, 42, 50, 49, 52, 51, 60, 55, 53, 57, 54, 56, 59]]
8: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 6], [5, 25, 18, 9, 31, 14, 24, 27, 28, 11, 15, 16, 23, 22, 10], [12, 17, 19, 20, 29, 33, 26], [32, 30, 37, 53, 46, 34, 39, 41, 43, 38, 36, 42, 44, 45, 40, 47, 49, 48, 54, 55, 50, 51, 59, 57, 58, 56, 52, 60]]
9: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6, 24, 9, 17], [11, 12, 15, 20, 30, 27, 25, 14], [19, 22, 51, 16, 18, 23, 26, 28, 31, 33, 39, 36, 49, 38, 29, 32, 46, 34, 43, 37, 42, 40, 44, 41, 45, 56, 47, 48, 50, 52, 57, 53, 60, 54, 59, 55, 58, 10]]
10: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 6, 11, 10], [14, 9, 17, 26, 18, 16], [15, 12, 23, 25, 22, 19, 20, 28], [27, 24, 30, 29, 31, 33], [32, 36, 53, 34, 37, 44, 47, 46, 38], [39, 40, 41, 42, 43], [57, 48, 50, 49, 52, 45, 55, 51, 54], [56, 58, 60, 59]]
11: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6, 9], [27, 26, 10, 15, 12, 11, 14, 30, 31, 20], [17, 25], [16, 22, 23, 18, 24, 19, 41, 28, 37, 33, 32, 34, 38, 29, 42, 36, 45, 39, 44, 47, 46, 40, 43, 53, 48, 49, 51, 50, 52, 54, 56, 55], [57, 60, 59, 58]]
