0: [[14, 3, 22, 4, 10, 2], [6, 13, 7, 11, 9, 1, 5], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
1: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
2: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
3: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
4: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
5: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
6: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
7: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
8: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
9: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
10: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
11: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
12: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
13: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
14: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
15: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11], [9, 8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
16: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11], [9, 8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
17: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11], [9, 8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
18: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
19: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
20: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
21: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
22: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
23: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
24: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
25: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11], [9, 8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
26: [[14, 3, 22, 4, 10, 2], [1, 5, 6, 13, 7, 11], [9, 8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
27: [[14, 3, 22, 4, 10], [2, 1, 5, 6, 13, 7, 11, 9, 8], [19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
28: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9], [8, 19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
29: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8], [19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
30: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8], [19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
31: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8], [19, 15, 16, 18, 20, 12, 17], [21, 23, 24]]
32: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9, 8, 19, 12], [15, 16, 18, 20, 17], [21, 23, 24]]
33: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
34: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
35: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
36: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
37: [[14, 3, 22, 4, 10, 2, 1, 5, 6], [13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
38: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8, 12], [19, 15, 16, 18, 20, 17], [21, 23, 24]]
39: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 12, 19, 15, 17, 16, 18, 20, 21], [23, 24]]
40: [[14, 3, 22, 4, 10, 2, 1], [5, 6, 13, 7, 11, 9], [8, 12, 19, 15, 17, 16, 18, 20, 21], [23, 24]]
41: [[14, 3, 22, 4, 2, 10], [5, 6, 13, 7, 11, 9, 1], [8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
42: [[14, 3, 22, 4, 2, 10, 1], [5, 6, 13, 7, 11], [9, 8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
43: [[14, 3, 22, 4, 2, 10, 1], [5, 6, 13, 7, 11], [9, 8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
44: [[14, 3, 22, 4, 2, 10, 1], [5, 6, 13, 7, 11, 9], [8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
45: [[14, 3, 22, 4, 10, 2, 1, 5], [6, 13, 7, 11, 9, 8, 12], [19, 15, 17, 16, 18, 20, 21], [23, 24]]
46: [[14, 3, 22, 4, 2, 10], [5, 6, 13, 7, 11, 1], [9, 8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
47: [[14, 3, 22, 4, 2, 10], [5, 6, 13, 7, 11, 1], [9, 8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
48: [[14, 3, 22, 4, 10], [2, 5, 6, 13, 7, 11, 1], [9, 8, 12, 19, 15, 17, 16, 18], [20, 21, 23, 24]]
49: [[14, 3, 22, 4, 2, 10], [5, 6, 13, 7, 11, 9, 8, 12, 1], [19, 15, 17, 16, 18], [20, 21, 23, 24]]
