0: [[10, 7, 3, 2, 16, 11, 1], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
1: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
2: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
3: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
4: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
5: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
6: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
7: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
8: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
9: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
10: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 12], [9, 8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
11: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
12: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
13: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
14: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
15: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
16: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
17: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
18: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
19: [[10, 7, 3, 2, 16, 1, 11], [4, 6, 14, 5, 13, 9, 12], [8, 18, 15, 19, 20, 22, 17], [21, 23, 24]]
