0: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
1: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
2: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
3: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
4: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
5: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
6: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
7: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
8: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
9: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
10: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
11: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
12: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
13: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
14: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
15: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
16: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
17: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
18: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
19: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
20: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
21: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
22: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
23: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
24: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
25: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
26: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
27: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9, 13], [14, 15, 16, 12], [17, 19, 18, 20]]
28: [[3, 11], [4, 1, 2], [6, 5, 10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
29: [[3, 11], [4, 1, 2, 6, 5], [10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
30: [[3, 11], [4, 1, 2, 6, 5], [10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
31: [[3, 11], [4, 1, 2], [6, 5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
32: [[3, 11], [4, 1, 2], [6, 5, 10, 7, 8], [9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
33: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8], [9, 13, 14, 15, 16, 12, 17], [19, 18, 20]]
34: [[3, 11], [4, 1, 2, 6], [5, 10, 7], [8, 9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
35: [[3, 11], [4, 1, 2, 6, 5], [10, 7, 8, 9], [13, 14, 15, 16, 12], [17, 19, 18, 20]]
36: [[3, 11], [4, 1, 2, 6], [5, 10, 7, 8, 9], [13, 14, 15, 16, 12, 17], [19, 18, 20]]
37: [[3, 11], [4, 1, 2, 6, 5], [10, 7, 8], [9, 13, 14, 15, 16, 12, 17], [19, 18, 20]]
38: [[3, 11], [4, 1, 2], [6, 5, 10, 7], [8, 9, 13, 14, 15, 16, 12], [17, 19, 18, 20]]
39: [[3, 11], [4, 1, 2, 6], [5, 10, 7], [8, 9, 13, 14, 15, 16], [12, 17, 19, 18, 20]]
40: [[3, 11], [4, 1, 2], [6, 5, 10, 7], [8, 9, 13, 14, 15, 16], [12, 17, 19, 18, 20]]
41: [[3, 11], [4, 1, 2, 6, 5], [10, 7, 8, 9, 13, 14], [15, 16, 12, 17], [19, 18, 20]]
