0: [[13, 1, 2], [5, 9, 4, 14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18, 16, 20, 17], [21, 23, 24]]
1: [[13, 1, 2], [5, 9, 4, 14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18, 16, 20, 17], [21, 23, 24]]
2: [[13, 1, 2], [5, 9, 4, 14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18, 16, 20, 17], [21, 23, 24]]
3: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10, 3], [7, 8, 11], [12, 15, 18, 16, 20, 17], [21, 23, 24]]
4: [[13, 1, 2], [5, 9, 4], [14, 6, 22], [19, 10, 3], [7, 8, 11], [12, 15, 18], [16, 20, 17], [21, 23, 24]]
5: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10, 3], [7, 8, 11], [12, 15, 18], [16, 20, 17], [21, 23, 24]]
6: [[2, 9], [4, 14], [6, 22, 13], [19, 10, 3], [7, 8, 11], [12, 15, 18, 5], [16, 20, 17, 1], [21, 23, 24]]
7: [[2, 9], [4, 14, 6, 22, 5], [19, 10, 3], [7, 8, 13], [11, 12, 15], [18, 16], [20, 17, 1], [21, 23, 24]]
8: [[2, 9, 4, 1], [14, 6, 13], [22, 19, 10], [3, 7, 8, 11], [12, 15], [18, 16], [20, 17, 5], [21, 23, 24]]
9: [[2], [9, 4], [14, 6, 13], [22, 19, 10, 3], [7, 8, 11], [12, 15, 18, 16], [20, 17, 1, 5], [21, 23, 24]]
10: [[2], [9, 4], [14, 6, 13], [22, 19, 10, 3], [7, 8, 11], [12, 15, 18, 16], [20, 17, 1, 5], [21, 23, 24]]
11: [[2, 9], [4, 14, 6, 5], [22, 19], [10, 3, 7, 8], [11, 12, 13, 1], [15, 18], [16, 20, 17], [21, 23, 24]]
12: [[13], [2], [4, 14], [6, 22, 5, 9], [19, 10, 3, 7], [8, 11, 12], [15, 18], [16, 20, 17, 1], [21, 23, 24]]
13: [[2, 9, 4, 1], [14, 6, 13], [22, 19, 10], [3, 7, 8], [11, 12, 5], [15, 18], [16, 20, 17], [21, 23, 24]]
14: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10, 3], [7, 8, 11], [12, 15, 18, 16], [20, 17, 21], [23, 24]]
15: [[2], [9, 4, 14], [6, 22, 13], [19, 10, 3], [7, 8, 5], [11, 12], [15, 18, 16], [20, 17, 1], [21, 23, 24]]
16: [[13, 1, 2], [5, 9, 4], [14, 6], [22, 19, 10, 3], [7, 8, 11, 12], [15, 18, 16], [20, 17, 21], [23, 24]]
17: [[13, 1, 2], [5, 9], [4, 14, 6], [22, 19, 10], [3, 7, 8], [11, 12, 15], [18, 16, 20, 17], [21, 23, 24]]
18: [[13, 1, 2], [5, 9, 4, 14], [6, 22], [19, 10], [3, 7, 8], [11, 12, 15], [18, 16], [20, 17], [21, 23, 24]]
19: [[2], [9, 4], [14, 6, 13], [22, 19, 10, 3], [7, 8, 5], [11, 12], [15, 18, 16], [20, 17, 1], [21, 23, 24]]
20: [[2], [9, 4], [14, 6, 22, 13], [19, 10], [3, 7, 8], [11, 12, 5], [15, 18, 16], [20, 17, 1], [21, 23, 24]]
21: [[2, 9], [4, 14], [6, 22, 13], [19, 10, 1], [3, 7], [8, 11], [12, 15, 5], [18, 16, 20, 17], [21, 23, 24]]
22: [[2, 9], [4, 14], [6, 22, 13], [19, 10, 1], [3, 7], [8, 11], [12, 15, 5], [18, 16, 20, 17], [21, 23, 24]]
23: [[2, 1], [9, 4], [14, 6, 13], [22, 19, 10], [3, 7, 8, 11], [12, 15, 18, 16], [20, 17, 21, 5], [23, 24]]
24: [[13], [2], [4, 14], [6, 22, 5, 9], [19, 10, 3, 7], [8, 11, 12, 1], [15, 18, 16], [20, 17, 21], [23, 24]]
25: [[2], [9, 4], [14, 6, 13], [22, 19], [10, 3], [7, 8, 11], [12, 15, 18, 5], [16, 20, 17, 21, 1], [23, 24]]
26: [[2], [9], [4, 14], [6, 22, 19, 13, 1], [10, 3], [7, 8, 5], [11, 12], [15, 18, 16], [20, 17, 21], [23, 24]]
27: [[2], [9], [4, 14], [6, 22, 19, 13, 1], [10, 3, 7, 8], [11, 12, 5], [15, 18, 16], [20, 17, 21], [23, 24]]
28: [[2, 9], [4, 14], [6, 22, 19, 13, 1], [10, 3], [7, 8, 5], [11, 12, 15], [18, 16], [20, 17, 21], [23, 24]]
29: [[2], [4], [14, 6, 13], [22, 19], [10, 3], [7, 8, 5], [11, 12], [15, 18], [16, 20, 17, 21, 1, 9], [23, 24]]
30: [[13, 1, 2], [5, 9], [4, 14, 6, 22], [19, 10], [3, 7], [8, 11, 12], [15, 18, 16, 20, 17, 21], [23, 24]]
31: [[13], [2], [4, 14], [6, 22, 19, 5, 9], [10, 3, 7], [8, 11, 12, 1], [15, 18, 16], [20, 17, 21], [23, 24]]
32: [[13, 2, 1], [4, 14], [6, 22, 19, 5, 9], [10, 3], [7, 8, 11, 12], [15, 18, 16, 20], [17, 21, 23, 24]]
