0: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
1: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
2: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
3: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
4: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
5: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
6: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
7: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
8: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
9: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
10: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
11: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
12: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
13: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
14: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
15: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
16: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
17: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
18: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
19: [[16, 7, 14, 6], [5, 10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
20: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
21: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
22: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
23: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
24: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
25: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
26: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
27: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
28: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
29: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
30: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
31: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
32: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
33: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
34: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
35: [[16, 7, 14, 5, 6], [10, 2, 1, 8, 3], [11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
36: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
37: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
38: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
39: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
40: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
41: [[16, 7, 14, 5, 6], [10, 2, 1, 8], [3, 11, 13, 12, 9], [17, 19, 18, 20, 15, 4]]
