0: [[2, 1, 16], [4, 22], [11, 7], [6, 5, 13, 3, 8], [19, 10, 9, 17, 14, 20], [15, 18, 12], [21, 23, 24]]
1: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3, 8], [19, 10, 9, 17, 14], [15, 18, 12], [21, 23, 24]]
2: [[2], [4, 22], [11, 7], [6, 5, 13], [3, 8, 16], [19, 10, 20, 1], [9, 17, 14], [15, 18, 12], [21, 23, 24]]
3: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 17, 14, 20], [15, 18, 12], [21, 23, 24]]
4: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 8, 16], [19, 10, 9, 20, 1], [17, 14], [15, 18, 12], [21, 23, 24]]
5: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 17, 14, 20], [15, 18], [12, 21], [23, 24]]
6: [[2], [22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 17, 20], [14, 15, 4], [18, 12], [21, 23, 24]]
7: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5], [13, 3, 8, 19, 10], [9, 17, 14], [15, 18, 12, 21], [23, 24]]
8: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3], [8, 19, 10, 9], [17, 14, 15, 18], [12, 21], [23, 24]]
9: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3, 8], [19, 10, 9], [17, 14], [15, 18], [12, 21], [23, 24]]
10: [[2], [4, 22, 11], [7, 6], [5, 13, 3, 8, 16], [19, 10, 9, 17, 14, 20, 1], [15, 18, 12], [21, 23, 24]]
11: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 16], [8, 19], [10, 9, 20, 1], [17, 14, 15, 18, 12, 21], [23, 24]]
12: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 8, 16], [19, 10], [9, 17, 20, 1], [14, 15, 18], [12, 21], [23, 24]]
13: [[2], [22, 16, 4], [11, 7], [6, 5, 13, 3], [8, 19], [10, 9, 20, 1], [17, 14], [15, 18], [12, 21], [23, 24]]
14: [[2], [22], [11, 7], [6, 5, 4], [13, 3, 8, 16], [19, 10, 9, 1], [17, 14], [15, 18], [12, 21, 20], [23, 24]]
15: [[2], [22], [11, 7], [6, 5, 13], [3, 8, 16], [19, 10, 20, 1], [9, 17], [14, 15, 18, 4], [12, 21], [23, 24]]
16: [[2], [22], [11, 7], [6, 5, 4], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18], [12, 21], [23, 24]]
17: [[2], [22], [11, 7], [6, 5, 4], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18], [12, 21], [23, 24]]
18: [[2], [22], [11, 7], [6, 5, 4], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18], [12, 21], [23, 24]]
19: [[2], [22], [11, 7], [6, 5, 4], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18], [12, 21], [23, 24]]
20: [[2], [22, 11], [7, 6], [5, 13], [3, 8, 16], [19, 10, 20, 1], [9, 17], [14, 15, 4], [18, 12], [21, 23, 24]]
21: [[2, 1], [4, 22, 16], [11, 7], [6, 5, 13, 3], [8, 19], [10, 9, 17, 14, 20], [15, 18], [12, 21, 23, 24]]
22: [[2, 4], [22, 11], [7, 6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18, 12], [21, 23, 24]]
23: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 17, 14, 20], [15, 18], [12, 21, 23, 24]]
24: [[2], [22], [11, 7], [6], [5, 13], [3, 8, 16], [19, 10, 20, 1, 4], [9, 17, 14, 15], [18, 12, 21], [23, 24]]
25: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3], [8, 19, 10, 9], [17, 14, 15, 18], [12, 21, 23, 24]]
26: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3], [8, 19, 10, 9, 17], [14, 15, 18], [12, 21, 23, 24]]
27: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3], [8, 19, 10, 9, 17], [14, 15, 18], [12, 21, 23, 24]]
28: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3, 8], [19, 10, 9, 17], [14, 15, 18], [12, 21, 23, 24]]
29: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19, 10, 20], [9, 17, 14], [15, 18, 12, 21, 23, 24]]
30: [[2], [4, 22, 16], [11, 7], [6, 5, 13, 3], [8, 19], [10, 9, 20, 1], [17, 14], [15, 18], [12, 21, 23, 24]]
31: [[2], [4, 22], [11, 7, 6], [5, 13], [3, 8, 16], [19, 10, 20, 1], [9, 17, 14], [15, 18], [12, 21, 23, 24]]
32: [[2], [22, 11], [7, 6], [5, 13], [3, 16, 4], [8, 19], [10, 9, 20, 1], [17, 14], [15, 18], [12, 21], [23, 24]]
33: [[2, 4, 1], [22, 11], [7, 6, 16], [5, 13], [3, 8, 19, 10, 9], [17, 14, 20], [15, 18, 12, 21], [23, 24]]
34: [[2], [4, 22, 16], [11, 7], [6, 5], [13, 3, 8, 19], [10, 9, 20, 1], [17, 14], [15, 18], [12, 21, 23, 24]]
35: [[2, 4], [22, 11], [7, 6], [5, 13], [3, 8, 16], [19, 10, 9, 1], [17, 14, 15, 18], [12, 21, 20], [23, 24]]
36: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 1, 16], [8, 19], [10, 9, 20], [17, 14], [15, 18, 12, 21, 23, 24]]
37: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 16], [8, 19], [10, 9, 20, 1], [17, 14, 15, 18, 12, 21, 23, 24]]
38: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 16], [8, 19], [10, 9, 20, 1], [17, 14, 15, 18, 12, 21, 23, 24]]
39: [[2], [4, 22], [11, 7], [6, 5], [13, 3, 16], [8, 19], [10, 9, 20, 1], [17, 14, 15, 18, 12, 21, 23, 24]]
40: [[20, 1], [16, 2], [4, 22], [11, 7], [6, 5, 13], [3, 8, 19, 10, 9], [17, 14, 15, 18, 12, 21, 23, 24]]
41: [[20, 1], [16, 2, 4, 22], [11, 7, 6, 5], [13], [3, 8, 19, 10, 9, 17, 14], [15, 18, 12, 21, 23, 24]]
42: [[2, 4], [22, 11], [7, 6], [5, 13], [3, 8, 16], [19, 10], [9, 17, 20, 1], [14, 15], [18, 12, 21], [23, 24]]
43: [[20, 1, 16, 2], [4, 22], [11, 7], [6, 5, 13, 3, 8], [19, 10, 9, 17], [14, 15], [18, 12, 21, 23], [24]]
