It No., Best MQ, No clusters, max clus, min clus
1,1.8445246106180477,12,7,3
2,1.8238366872771214,12,7,1
3,1.9424328462109426,15,7,2
4,1.7559110624022451,11,9,2
5,2.0377065710836604,18,6,1
6,1.8022856610330127,11,11,2
7,1.7120985042114074,8,14,3
8,1.8966206696605872,11,10,2
9,1.7830855864932746,10,9,2
10,1.68668085809583,14,7,2
11,1.869784579234724,11,9,2
12,1.863959735026773,14,9,2
13,1.7836373207597223,10,10,2
14,1.7554560138225002,12,8,3
15,1.759903159121106,12,11,2
16,1.7196723288637688,14,7,2
17,2.0179627479876383,13,7,1
18,1.730991153671901,11,10,3
19,1.7819946168696188,17,6,1
20,1.8174544409019553,13,6,2
21,1.9366782239396763,14,29,1
22,1.863638811389392,16,5,3
23,1.8176001794024164,14,6,2
24,1.8353905230881673,9,31,1
25,1.8056790914423966,10,12,2
26,1.709864824357754,12,7,3
27,1.7782837284078865,12,7,2
28,1.7850639463253857,12,8,2
29,1.80280665403955,19,4,2
30,1.7452367025832483,13,8,1
31,1.785684353041485,11,11,1
