0: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
1: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
2: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
3: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
4: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
5: [[5, 12, 19, 4, 1], [2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
6: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
7: [[5, 12, 19, 4], [1, 2, 3, 6], [9, 10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
8: [[5, 12, 19, 4], [1, 2, 3, 6, 9], [10, 7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
9: [[5, 12], [19, 4, 1, 2], [3, 6, 9, 10, 7, 14, 11], [8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
10: [[5, 12, 19, 4, 1, 2], [3, 6, 9], [10, 7, 14], [11, 8, 15, 13], [17, 20, 16, 18, 22], [23, 21, 24]]
11: [[5, 19, 12, 4], [2, 3, 6, 9, 10, 1], [7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
12: [[5, 19, 12, 4], [2, 3, 6, 9, 10, 1], [7, 14, 11], [8, 15, 13, 17], [20, 16, 18, 22], [23, 21, 24]]
