0: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 8, 12], [29, 14], [18, 13, 10], [17, 23, 16, 28, 22], [20, 25], [27, 26, 21]]
1: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3, 7, 24, 12, 8, 29, 14, 10, 13, 20, 17], [23, 16, 18, 22, 28], [25, 26, 27, 21]]
2: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7, 24], [12, 8, 29], [14, 10, 13, 18, 17], [23, 16, 28], [22, 20], [25, 27, 26, 21]]
3: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7, 24], [8, 12, 29], [14, 18, 13, 10, 17], [23, 16, 28], [20, 22], [25, 27, 26, 21]]
4: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7, 24], [12, 8, 29], [14, 10, 13, 18, 17], [23, 16, 28], [22, 20], [25, 27, 26, 21]]
5: [[19, 9, 1, 2], [6, 5], [4, 15], [11, 3, 7, 24], [12, 8, 29], [14, 10, 13, 18, 17], [23, 16, 28], [22, 20], [25, 27, 26, 21]]
6: [[19, 9, 1, 2], [6, 5, 4, 15], [11, 3], [7, 24, 8], [13, 12, 10, 28, 17, 22, 18, 16, 14, 23, 20], [25, 27, 29, 21, 26]]
7: [[19, 9, 1, 2], [6, 5, 4, 15], [11, 3], [7, 24], [8, 28, 10, 12], [13, 17, 14], [16, 18, 29, 22], [25, 20], [21, 27, 26, 23]]
8: [[19, 9, 1, 2], [6, 5, 4, 15, 11, 3], [7, 24, 8, 12, 29], [14, 18], [13, 10, 17, 23, 16, 22, 28], [20, 25, 27], [21, 26]]
9: [[19, 9], [1, 2, 6], [5, 4, 15], [11, 3], [7, 24], [12, 8, 29], [14, 18, 13, 10], [17, 20, 16], [28, 23, 22], [25, 27, 26, 21]]
10: [[19, 9, 1, 2], [6, 5], [4, 15, 11, 3], [7, 24, 12, 8], [29, 14, 10, 13, 18, 17, 21, 16, 20, 22, 23, 25, 27, 28, 26]]
