0: [[11, 3, 8], [1, 2], [5, 7, 10], [14, 4], [12, 13, 9], [16, 6, 15], [18, 19, 17, 20]]
1: [[11, 3, 8], [1, 2], [5, 7, 10], [14, 4], [12, 13, 9], [16, 6, 15], [18, 19, 17, 20]]
2: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 16, 15, 17, 18, 20]]
3: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
4: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [17, 16, 15], [19, 18, 20]]
5: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [17, 16, 15], [19, 18, 20]]
6: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
7: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
8: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
9: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
10: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
11: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 18, 15], [19, 17, 20]]
12: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 16, 15], [17, 18, 20]]
13: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [16, 19, 15], [17, 18, 20]]
14: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 16, 15], [17, 18, 20]]
15: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 16, 15], [17, 18, 20]]
16: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 16, 15], [17, 18, 20]]
17: [[11, 3, 8], [1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [20, 17], [19, 18, 16, 15]]
18: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 18], [17, 16, 20, 15]]
19: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 18], [17, 16, 20, 15]]
20: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 17], [16, 18, 20, 15]]
21: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 9], [19, 17], [16, 18, 20, 15]]
22: [[11, 3, 8], [1, 2], [5, 7, 10], [14, 4], [13, 9, 6], [16, 12, 15], [17, 19, 18, 20]]
23: [[11, 3, 8], [1, 2], [5, 7, 10], [14, 4, 6], [13, 16, 9], [12, 17, 15], [19, 18, 20]]
24: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4], [13, 12, 9, 6], [16, 17, 15], [19, 18, 20]]
25: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 15, 19, 16, 9], [17, 18, 20]]
26: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 4, 6], [13, 12, 15, 16, 17, 19, 18, 20, 9]]
27: [[11, 3, 8], [1, 2, 5], [7, 10], [14, 4, 6], [13, 16, 9], [12, 17, 15], [19, 18, 20]]
28: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 12, 4], [13, 9, 6], [17, 16, 15], [19, 18, 20]]
29: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 13, 4, 6], [17, 9], [16, 12, 19, 15], [18, 20]]
30: [[11, 3, 8], [1, 2, 5], [7, 10, 14, 6], [13, 4], [12, 9], [16, 17, 19, 15], [18, 20]]
31: [[11, 3], [8, 1, 2], [5, 7], [10, 14, 4, 6], [13, 9], [12, 19, 17], [16, 18, 20, 15]]
32: [[11, 3], [8, 1], [2, 5, 7], [10, 14, 4], [13, 12], [16, 9, 6, 15], [17, 19, 20, 18]]
33: [[11, 3, 8], [1, 2, 5], [7, 10, 14, 6], [12, 13, 4], [16, 15, 17, 19, 18, 20, 9]]
34: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 13, 12, 15, 16, 17, 19, 18, 20, 9, 4, 6]]
35: [[11, 3, 8], [1, 2, 5], [7, 10, 14, 6], [13, 4], [16, 9, 15], [12, 17, 19], [18, 20]]
36: [[11, 3, 8], [1, 2, 5], [7, 10, 14, 6], [13, 4], [12, 19, 9], [18, 17, 16, 20, 15]]
37: [[11, 3], [8, 1], [2, 5, 7], [10, 14, 4, 6], [13, 12, 9], [20, 17, 19, 16, 15], [18]]
38: [[11, 3], [8, 1, 2], [5, 7, 10], [14, 12, 4], [13, 17, 15, 16, 19, 9, 6], [18, 20]]
39: [[11, 3], [8, 1], [2, 5, 7], [10, 14, 4, 6], [13, 9], [12, 16, 17, 19, 15], [18, 20]]
40: [[11, 3, 8], [1, 2, 5], [7, 10, 14, 4, 6, 13, 9, 12, 15, 17, 16, 19, 18, 20]]
41: [[11, 3], [8, 1, 2], [5, 7, 10, 14, 4, 6, 13, 9, 12, 15, 20, 16, 19, 18, 17]]
