0: [[2, 3, 14, 1, 8, 6, 4], [7, 5, 10, 11, 9], [12, 15, 13, 19, 16, 18, 17, 20]]
1: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
2: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
3: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
4: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
5: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
6: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
7: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
8: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
9: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
10: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
11: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
12: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
13: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
14: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
15: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
16: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
17: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
18: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
19: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
20: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
21: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
22: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
23: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
24: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
25: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
26: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10], [9, 11, 12, 15, 13, 19, 16, 18, 17, 20]]
27: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
28: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
29: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
30: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11, 12], [15, 13, 19, 16, 18, 17, 20]]
31: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11, 12], [15, 13, 19, 16, 18, 17, 20]]
32: [[2, 3, 14, 4, 1, 8, 6], [7, 5, 10, 9, 11, 12], [15, 13, 19, 16, 18, 17, 20]]
33: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
34: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
35: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
36: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
37: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9], [11, 12, 15, 13, 19, 16, 18, 17, 20]]
38: [[2, 3, 14, 4, 1, 8, 6, 7], [5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
39: [[2, 3, 14, 4, 1, 8, 6, 7], [5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
40: [[2, 3, 14, 4, 1, 8, 6, 7], [5, 10, 9, 11], [12, 15, 13, 19, 16, 18, 17, 20]]
41: [[2, 3, 14, 4, 1, 8], [6, 7, 5, 10, 9, 11, 12], [15, 13, 19, 16, 18, 17, 20]]
