0: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
1: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
2: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
3: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
4: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
5: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
6: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
7: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
8: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
9: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
10: [[3, 51, 59, 30], [31, 23, 36, 22], [15, 6, 10], [28, 40, 45, 12], [16, 13, 21], [58, 14, 38, 5, 18], [26, 29, 1, 9, 8], [17, 4, 25], [34, 33], [19, 20, 11, 32], [42, 24], [35, 7, 2], [39, 37, 55], [50, 53, 41], [43, 27, 52], [44, 47, 46], [54, 48, 56], [60, 49, 57]]
