It No., Best MQ, No clusters, max clus, min clus
1,1.675678733031674,4,15,2
2,1.585431654676259,3,16,3
3,1.8073632757534583,5,11,3
4,1.7622655122655122,4,18,2
5,1.3844114921223356,3,17,6
6,1.6942547693270158,4,11,4
7,1.5639257254660899,3,16,3
8,1.9180581323438466,5,14,2
9,1.585880077369439,3,19,3
10,1.612165464804031,3,13,3
11,1.5651565726465995,3,13,3
12,1.777066818865542,8,6,2
13,1.6572104366222011,4,11,3
14,1.6837885005424273,4,14,2
15,1.4719109820996614,4,9,6
16,1.6324577677961136,3,21,3
17,1.5741469242649415,4,9,4
18,1.5708446966634078,3,15,3
19,1.5357771260997066,3,14,3
20,1.6330829344616704,3,19,3
21,1.5613377995059845,3,14,3
22,1.5841644794400702,4,18,2
23,1.7394476780704324,4,11,3
24,1.6504136210443383,3,18,3
25,1.780401212004028,7,7,2
26,1.6324577677961136,3,21,3
27,1.7156703738029038,4,14,4
28,1.9082018389272535,6,10,2
29,1.6121543489190548,4,15,2
30,1.6065781820648097,4,10,4
31,1.6487744337573689,3,22,3
