0: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
1: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
2: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
3: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
4: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
5: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
6: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
7: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
8: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
9: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
10: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
11: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
12: [[13, 1, 5, 2, 3], [6, 8, 4, 9, 10, 11], [12, 7]]
13: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
14: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
15: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
16: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
17: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
18: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
19: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
20: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
21: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
22: [[13, 1, 5, 2, 3, 6], [8, 4, 9, 10, 11], [12, 7]]
23: [[13, 1, 5, 2], [3, 6, 8, 4, 9, 10, 11], [12, 7]]
24: [[13, 1, 5, 2], [3, 6, 8, 4, 9, 10, 11], [12, 7]]
25: [[13, 1, 5, 2], [3, 6, 8, 4, 9, 10, 11], [12, 7]]
26: [[13, 1, 5, 2, 3, 6, 8], [4, 9, 10, 11], [12, 7]]
27: [[13, 1, 5, 2, 3, 6, 8], [4, 9, 10, 11], [12, 7]]
