0: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
1: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
2: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
3: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
4: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
5: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
6: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
7: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
8: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
9: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
10: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
11: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
12: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
13: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
14: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
15: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
16: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
17: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
18: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
19: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
20: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
21: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
22: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 13, 12, 4], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
23: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
24: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
25: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
26: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
27: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
28: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
29: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 12, 4], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
30: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
31: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 12, 4], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
32: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
33: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22], [14, 8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
34: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 14], [8, 3, 4, 12, 13], [19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
35: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
36: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
37: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
38: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 12, 4], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
39: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
40: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
41: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
42: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
43: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
44: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
45: [[5, 17, 11, 25, 6, 9], [20, 1, 16, 22, 14], [8, 3, 13, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
46: [[5, 17, 11, 25, 6], [9, 20, 1, 16, 22, 8], [3, 13, 14, 4, 12], [19, 7, 2, 15, 18], [23, 28, 24, 10], [21, 26, 27, 29]]
47: [[5, 17, 11, 25], [6, 9, 20, 1, 16, 12, 22], [8, 3, 13, 4, 14], [19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
48: [[5, 17, 11, 25], [6, 9, 20, 1, 16, 10, 22], [8, 3, 13, 14], [4, 19, 7, 2, 15, 12], [18, 23, 28, 24], [21, 26, 27, 29]]
49: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13, 4], [12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
50: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13, 4], [12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
51: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13, 4], [12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
52: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [12, 4, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
53: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [4, 12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
54: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [4, 12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
55: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [4, 12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
56: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [4, 12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
57: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [4, 12, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
58: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [12, 4, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
59: [[5, 17, 11, 25], [6, 9, 20, 1, 16], [22, 14, 8, 3, 13], [12, 4, 19, 7, 2, 15], [18, 23, 28, 24, 10], [21, 26, 27, 29]]
