0: [[13, 1, 5, 2, 3], [10, 4], [8, 6, 11, 9], [7, 12]]
1: [[13, 1, 5, 2, 3], [10, 4], [8, 6, 11, 9], [7, 12]]
2: [[13, 1, 5, 2, 3], [10, 4], [8, 6, 11, 9], [7, 12]]
3: [[13, 1, 5, 2, 3], [10, 4, 8], [6, 11, 9], [12, 7]]
4: [[13, 1, 5, 3, 2], [10, 4], [8, 11, 6], [9, 7, 12]]
5: [[13, 1, 5, 2, 3], [10, 4, 8], [6, 11, 9], [12, 7]]
6: [[13, 1, 5, 3, 2], [10, 4], [8, 6], [11, 9, 7, 12]]
7: [[13, 1, 5, 3, 2], [10, 4], [8, 6], [11, 9, 7, 12]]
8: [[13, 1, 5, 3, 2], [10, 4], [8, 6, 11, 9, 7, 12]]
9: [[13, 1, 5, 3], [10, 2, 4], [8, 6, 11], [9, 12, 7]]
10: [[13, 1, 5, 3], [10, 2, 4], [8, 6, 11], [9, 12, 7]]
11: [[13, 1, 5, 3], [10, 2, 4], [8, 6, 11], [9, 12, 7]]
12: [[13, 1, 5, 2], [3, 10, 4], [8, 6, 11], [9, 12, 7]]
13: [[13, 1], [5, 3], [10, 2, 4], [8, 6, 11, 9], [12, 7]]
14: [[13, 1], [5, 3], [10, 2, 4], [8, 6, 11], [9, 12, 7]]
15: [[13, 1], [5, 3], [10, 2, 4], [8, 6, 11], [9, 12, 7]]
16: [[13, 1, 5, 3], [10, 2, 4], [8, 6], [11, 9, 12, 7]]
17: [[13, 1], [5, 3, 2], [10, 4], [8, 6, 11], [9, 12, 7]]
18: [[13, 1], [5, 3, 2], [10, 4], [8, 6, 11], [9, 12, 7]]
19: [[13, 1], [5, 10, 4, 2, 3], [8, 6, 11, 9], [12, 7]]
20: [[13, 1, 5, 3], [10, 2], [8, 6, 11, 4], [9, 12, 7]]
21: [[13, 1, 5, 3, 2], [10, 4], [8, 6], [11], [9, 7, 12]]
22: [[13, 1], [5, 10, 2, 3], [4, 8, 6, 11, 9], [12, 7]]
23: [[13, 1, 5, 3], [2, 10], [4, 8, 6, 11, 9, 7, 12]]
24: [[13, 1], [5, 3, 2], [10, 8, 4], [6, 11, 9, 12, 7]]
25: [[13, 1], [5, 10, 8, 2, 3, 4], [6], [11, 9, 7, 12]]
26: [[13], [1, 5, 3, 2, 10, 4, 8, 6, 11, 9, 7], [12]]
27: [[13, 1, 5], [3, 2, 10, 4, 8], [6, 11, 9, 7, 12]]
