0: [[5, 1, 3], [4, 9, 10, 2], [6, 8, 11], [13, 12, 7]]
1: [[5, 1, 3], [4, 9, 10, 2], [6, 8, 11], [13, 12, 7]]
2: [[5, 1, 3], [4, 9, 10, 2], [6, 8, 11], [13, 12, 7]]
3: [[5, 1, 3], [4, 9, 10, 2], [6, 8, 11], [13, 12, 7]]
4: [[5, 1, 3], [4, 9, 10], [6, 8, 11, 2], [13, 12, 7]]
5: [[5, 1, 3], [4, 9, 10], [6, 8, 11, 2], [13, 12, 7]]
6: [[5, 1, 3], [4, 9, 10], [6, 8, 11, 2], [13, 12, 7]]
7: [[5, 1, 3], [4, 9, 10], [6, 8, 11, 2], [13, 12, 7]]
8: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
9: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
10: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
11: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
12: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
13: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
14: [[5, 1, 4, 3], [9, 10, 2], [6, 8, 11], [13, 12, 7]]
15: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
16: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
17: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
18: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
19: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
20: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
21: [[5, 1, 3], [4, 9, 10], [8, 6], [11, 13, 12, 2, 7]]
22: [[5, 1, 3], [4, 9, 10], [2, 6, 8, 11, 13, 12, 7]]
23: [[5, 1, 3], [4, 9, 10], [2, 6, 8, 11, 13, 12, 7]]
24: [[5, 1, 3], [4, 9, 10], [2, 6, 8, 11, 13, 12, 7]]
25: [[5, 1, 3], [4, 9, 10], [2, 6, 8, 11, 13, 12, 7]]
26: [[5, 1, 3], [4, 9, 10], [12, 8, 2, 6], [13, 11, 7]]
27: [[5, 1, 3, 4], [10, 9], [6, 8, 11, 2], [13, 12, 7]]
