0: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8, 11], [7, 12]]
1: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8, 11], [7, 12]]
2: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8, 11], [7, 12]]
3: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8, 11], [7, 12]]
4: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8, 11], [7, 12]]
5: [[10, 4, 13, 2], [1, 5, 3], [9, 6, 8, 11], [12, 7]]
6: [[10, 4], [13, 2], [1, 3, 5], [9, 6], [8, 11, 12, 7]]
7: [[10, 4], [13, 2], [1, 3, 5], [9, 8, 11, 7, 12, 6]]
8: [[10, 4], [13, 2, 1], [3, 5], [9, 6], [8, 11], [7, 12]]
9: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8], [11, 12, 7]]
10: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8], [11, 12, 7]]
11: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8], [11, 12, 7]]
12: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8], [11, 12, 7]]
13: [[10, 4], [13, 2], [1, 3, 5], [9, 6, 8], [11, 12, 7]]
14: [[10, 4], [13, 2, 1], [3, 5], [9, 6, 8], [11, 7, 12]]
15: [[10, 4], [13, 2], [1, 3, 5, 9], [6, 8, 11], [7, 12]]
16: [[10, 4], [13, 2], [1, 3], [5, 9], [8, 11, 6], [12, 7]]
17: [[10], [13, 2], [1, 3, 5], [9, 8, 4, 6], [11], [12, 7]]
18: [[10], [13, 2], [1, 3, 5], [9, 8, 4, 6], [11], [12, 7]]
19: [[10, 4], [13, 2], [1, 3], [5, 9, 6], [8, 11, 12, 7]]
20: [[10, 4], [13, 2, 1, 3], [5, 9, 6], [8, 11], [7, 12]]
21: [[10, 4], [13, 2, 1, 3, 5, 9, 6, 8, 11], [7, 12]]
22: [[10, 4], [13, 1, 2], [3, 5, 9, 7], [6, 8, 11], [12]]
23: [[10, 4], [13, 2, 1, 3], [5, 9, 6, 8, 11, 7, 12]]
24: [[10, 4, 13, 2], [1, 3], [5, 9, 6, 8, 11, 7, 12]]
25: [[10, 4], [13, 2], [1, 3], [5, 9, 6, 8], [11, 7, 12]]
26: [[10, 4], [13, 2], [1, 3], [5, 9], [6, 8], [11, 7, 12]]
27: [[10, 4, 13], [2, 1, 3], [5, 9, 6, 8, 11, 7, 12]]
