0: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
1: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
2: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
3: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
4: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
5: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
6: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
7: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
8: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
9: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
10: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
11: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
12: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
13: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
14: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
15: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
16: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
17: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
18: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
19: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
20: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
21: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [13, 12, 11, 9], [17, 20, 18, 19, 15]]
22: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
23: [[2, 8, 10, 5, 16], [7, 1, 3, 14, 6, 4], [11, 13, 12, 9], [17, 20, 18, 19, 15]]
24: [[2, 8, 10, 5, 16, 7], [1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
25: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
26: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
27: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
28: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
29: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
30: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
31: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
32: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
33: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
34: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
35: [[2, 8, 10, 5], [16, 7, 1, 3, 14, 6], [11, 13, 12, 4, 9], [17, 20, 18, 19, 15]]
36: [[2, 8, 10, 5], [16, 7, 1, 3, 14], [6, 4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
37: [[2, 8, 10, 5], [16, 7, 1, 3, 14], [6, 4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
38: [[2, 8, 10, 5], [16, 7, 1, 3, 14], [6, 4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
39: [[2, 8, 10, 5], [16, 7, 1, 3, 14], [6, 4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
40: [[2, 8, 10, 5], [16, 7, 1, 3, 14], [6, 4, 11, 13, 12, 9], [17, 20, 18, 19, 15]]
41: [[2, 8, 10, 5, 16], [7, 1, 3, 14], [6, 11, 12, 13, 4, 9], [17, 20, 18, 19, 15]]
