It No., Best MQ, No clusters, max clus, min clus
1,1.8060044395949142,6,6,3
2,1.4546245227862786,4,8,7
3,1.4929510367100036,4,8,7
4,1.581761914387748,5,7,5
5,1.6345439529777097,7,6,3
6,1.890454141239286,8,6,1
7,1.7740709533879637,6,9,2
8,1.376973869592472,4,8,7
9,1.485887935556614,5,6,5
10,1.825293207646149,6,8,2
11,2.0489235029676207,8,6,3
12,1.6007729939706106,10,4,2
13,1.4406414662084766,4,8,7
14,1.7789416028286409,5,8,3
15,1.3026204137904251,3,10,9
16,1.6428003529422806,5,7,5
17,1.4172927282063437,4,8,7
18,1.541053276620287,4,9,5
19,1.4957822202029383,5,6,5
20,1.3862955643461323,4,8,7
21,1.6394749036675829,5,7,5
22,1.410369532428356,5,6,5
23,1.4367667395696246,4,8,6
24,1.9946907727998293,9,7,1
25,1.3423934556010029,3,10,9
26,1.6798868169869827,5,7,4
27,1.4604123335157817,5,6,5
28,1.3017104377104376,3,10,9
29,1.8909417819965963,6,8,2
30,1.7956514917967847,7,5,3
31,1.4108459108459108,4,8,7
