0: [[9, 3, 2, 6, 1, 13, 10], [4, 22, 14, 5], [15, 7, 8, 11], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
1: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
2: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
3: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
4: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
5: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
6: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
7: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
8: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
9: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
10: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
11: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
12: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
13: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
14: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
15: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
16: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
17: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
18: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
19: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
20: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11], [13, 12, 17, 19, 16, 18, 20], [23, 21, 24]]
21: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
22: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
23: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11], [13, 12, 17, 19, 16, 18, 20], [23, 21, 24]]
24: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
25: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
26: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
27: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
28: [[1, 3, 2, 9, 10], [6, 4, 22, 14], [5, 15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
29: [[1, 3, 2, 9, 10], [6, 4, 22, 14], [5, 15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
30: [[1, 3, 2, 9, 10], [6, 4, 22, 14], [5, 15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
31: [[1, 3, 2, 9, 10], [6, 4, 22, 14], [5, 15, 7, 8, 11], [13, 12, 17, 19, 16, 18, 20], [23, 21, 24]]
32: [[1, 3, 9], [2, 6, 4, 22, 14, 5, 10], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
33: [[1, 3, 9], [2, 6, 4, 22, 14, 5, 10], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
34: [[1, 3, 9], [2, 6, 4, 22, 14, 5, 10], [15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
35: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12, 17, 19], [16, 18, 20], [23, 21, 24]]
36: [[1, 3, 9, 10], [2, 6, 4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
37: [[1, 3, 9], [2, 6, 4, 22, 14, 5, 10], [15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
38: [[1, 3, 9], [2, 6, 4, 22, 14, 10], [5, 15, 7, 8, 11], [13, 12, 17, 19, 16, 18, 20], [23, 21, 24]]
39: [[9, 10, 1, 3, 2], [6, 4, 22, 14, 5, 15, 7], [8, 11, 13, 12, 17, 19], [16, 18, 20], [23, 21, 24]]
40: [[9, 1, 3, 2, 4, 10, 6], [22, 14, 5], [15, 7, 8, 11, 13, 12], [17, 19, 16, 18, 20], [23, 21, 24]]
41: [[9, 1, 3, 2, 4, 10, 6], [22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18, 20], [23, 21, 24]]
42: [[9, 3, 1], [2, 6, 4, 22, 14, 5, 10], [15, 7, 8, 11, 13, 12, 17], [19, 16, 18, 20], [23, 21, 24]]
43: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15, 7], [8, 11, 13, 12, 17], [19, 16, 18, 20], [23, 21, 24]]
44: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5], [15, 7, 8, 11], [13, 12, 17, 19, 16, 18], [20, 23, 21, 24]]
45: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13], [12, 17, 19, 16, 18], [20, 23, 21, 24]]
46: [[9, 1, 3, 2, 4, 10, 6], [22, 14, 5, 15], [7, 8, 11, 13, 12, 17], [19, 16, 18, 20], [23, 21, 24]]
47: [[1, 3, 2, 9, 10], [6, 4, 22, 14, 5, 15], [7, 8, 11, 13, 12], [17, 19, 16, 18, 20, 23], [21, 24]]
48: [[1, 3, 2, 9, 10], [6, 4, 22, 14], [5, 15, 7, 8, 11, 13], [12, 17, 19, 16, 18, 20, 23], [21, 24]]
49: [[9, 3, 2, 6, 10, 1], [4, 22, 14, 5, 15], [7, 8, 11, 13, 12, 17], [19, 16, 18, 20, 23], [21, 24]]
