0: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28], [5, 26], [9, 1, 3], [37, 2], [22, 24], [6, 19, 21, 15], [8, 14, 10, 11, 29, 18], [31, 32, 27, 30, 34]]
1: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8], [14, 10, 11, 29, 18], [31, 32, 27, 30], [34]]
2: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16, 7], [25, 28], [5, 26, 9, 1], [3, 37, 2], [22, 24, 6, 19], [21, 15, 8, 14, 10, 11, 29, 18], [31, 32, 27, 30, 34]]
3: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9, 1], [3, 37, 2, 22], [24, 6, 19], [21, 15, 8], [14, 10, 11, 29, 18], [31, 32, 27, 30, 34]]
4: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21, 15, 8], [14, 10], [11, 29, 18, 31], [32, 27, 30, 34]]
5: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28, 5], [26, 9, 1], [3, 37, 2], [22, 24, 6], [19, 21, 15], [8, 14, 10, 11, 29, 18], [31, 32, 27, 30, 34]]
6: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21, 15], [8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
7: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2], [22, 24, 6], [19, 21, 15], [8, 14, 10], [11, 29, 18], [31, 32, 27, 30, 34]]
8: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2], [22, 24, 6], [19, 21, 15, 8], [14, 10, 11, 29], [18, 31, 32, 27, 30, 34]]
9: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26], [9, 1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31], [32, 27], [30, 34]]
10: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26], [9, 1], [3, 37, 2], [22, 24, 6], [19, 21, 15], [8, 14, 10], [11, 29], [18, 31], [32, 27, 30, 34]]
11: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19, 21], [15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
12: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19], [21, 15, 8], [14, 10, 11], [29, 18, 31], [32, 27, 30, 34]]
13: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28, 5, 26], [9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15], [8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
14: [[23, 13, 35], [20, 12, 33, 36], [4, 17], [16, 7], [25, 28, 5], [26, 9, 1], [3, 37, 2], [22, 24, 6], [19, 21, 15], [8, 14], [10, 11, 29, 18], [31, 32, 27, 30], [34]]
15: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28, 5, 26, 9], [1, 3, 37, 2, 22, 24, 6, 19], [21, 15, 8, 14, 10, 11, 29], [18, 31, 32, 27, 30, 34]]
16: [[23, 13, 35, 20], [12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
17: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28, 5, 26], [9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15], [8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
18: [[23, 13, 35, 20], [12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
19: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28], [5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19], [21, 15], [8, 14, 10, 11], [29, 18, 31], [32, 27], [30, 34]]
20: [[23, 13], [35, 20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19, 21, 15], [8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
21: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16, 7], [25, 28, 5, 26], [9, 1, 3], [37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
22: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19], [21, 15, 8], [14, 10, 11], [29, 18], [31, 32, 27], [30, 34]]
23: [[23, 13, 35, 20, 12, 33], [36, 4, 17, 16], [7, 25, 28], [5, 26], [9, 1, 3], [37, 2, 22, 24, 6], [19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27], [30, 34]]
24: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3], [37, 2, 22], [24, 6, 19, 21], [15, 8, 14, 10], [11, 29, 18, 31], [32, 27, 30, 34]]
25: [[23, 13, 35], [20, 12, 33], [36, 4], [17, 16, 7], [25, 28], [5, 26, 9], [1, 3, 37, 2, 22], [24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
26: [[23, 13], [35, 20], [12, 33, 36], [4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
27: [[23, 13, 35], [20, 12], [33, 36, 4], [17, 16, 7], [25, 28, 5, 26, 9], [1, 3], [37, 2, 22, 24], [6, 19, 21, 15], [8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
28: [[23, 13], [35, 20, 12], [33, 36], [4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6], [19, 21, 15], [8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
29: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28], [5, 26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
30: [[23, 13, 35], [20, 12, 33, 36], [4, 17, 16, 7], [25, 28], [5, 26], [9, 1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8, 14], [10, 11, 29], [18, 31], [32, 27, 30, 34]]
31: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28, 5], [26, 9, 1], [3, 37, 2], [22, 24, 6], [19, 21, 15], [8, 14, 10], [11, 29, 18, 31], [32, 27, 30, 34]]
32: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19], [21, 15], [8, 14, 10], [11, 29], [18, 31], [32, 27, 30, 34]]
33: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6], [19, 21, 15], [8, 14, 10, 11], [29, 18, 31], [32, 27], [30, 34]]
34: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16], [7, 25, 28], [5, 26, 9, 1, 3], [37, 2, 22], [24, 6, 19, 21, 15, 8], [14, 10], [11, 29, 18], [31, 32, 27], [30, 34]]
35: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7], [25, 28, 5], [26, 9, 1], [3, 37], [2, 22, 24, 6], [19, 21, 15], [8, 14, 10], [11, 29], [18, 31], [32, 27, 30, 34]]
36: [[23, 13, 35, 20], [12, 33], [36, 4, 17], [16, 7], [25, 28, 5], [26, 9], [1, 3], [37, 2, 22], [24, 6], [19, 21, 15, 8], [14, 10], [11, 29], [18, 31, 32, 27, 30, 34]]
37: [[23, 13, 35, 20, 12, 33], [36, 4, 17, 16], [7, 25, 28, 5, 26, 9, 1], [3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
38: [[23, 13], [35, 20, 12, 33], [36, 4], [17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21, 15], [8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
39: [[23, 13, 35], [20, 12], [33, 36, 4], [17, 16, 7], [25, 28, 5, 26], [9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
40: [[23, 13, 35], [20, 12], [33, 36], [4, 17], [16, 7], [25, 28, 5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29], [18, 31, 32, 27, 30, 34]]
41: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16], [7, 25, 28], [5, 26, 9], [1, 3], [37, 2], [22, 24, 6, 19], [21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
42: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
43: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16], [7, 25], [28, 5, 26], [9, 1], [3, 37, 2], [22, 24], [6, 19], [21, 15], [8, 14, 10], [11, 29, 18, 31], [32, 27, 30, 34]]
44: [[23, 13, 35], [20, 12, 33], [36, 4], [17, 16, 7], [25, 28, 5], [26, 9], [1, 3], [37, 2, 22], [24, 6], [19, 21, 15, 8], [14, 10], [11, 29], [18, 31, 32, 27, 30, 34]]
45: [[23, 13, 35, 20], [12, 33, 36], [4, 17], [16, 7, 25], [28, 5], [26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
46: [[23, 13], [35, 20, 12], [33, 36], [4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19], [21, 15], [8, 14], [10, 11], [29, 18], [31, 32, 27], [30, 34]]
47: [[23, 13, 35], [20, 12, 33], [36, 4, 17], [16, 7, 25], [28, 5], [26, 9, 1, 3, 37], [2, 22, 24, 6], [19], [21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
48: [[23, 13], [35, 20], [12, 33], [36, 4, 17], [16, 7, 25], [28, 5, 26], [9, 1, 3], [37, 2, 22], [24, 6, 19], [21, 15, 8], [14, 10], [11, 29, 18], [31, 32, 27], [30, 34]]
49: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16], [7, 25, 28, 5], [26, 9, 1, 3], [37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
50: [[23, 13, 35], [20, 12, 33], [36, 4, 17, 16, 7, 25, 28], [5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31], [32, 27, 30, 34]]
51: [[23, 13], [35, 20, 12], [33, 36], [4, 17], [16, 7, 25], [28, 5], [26, 9, 1], [3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
52: [[23, 13, 35], [20, 12], [33, 36, 4], [17, 16], [7, 25], [28, 5], [26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8], [14, 10, 11], [29, 18, 31], [32, 27, 30, 34]]
53: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15], [8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
54: [[23, 13], [35, 20, 12], [33, 36, 4], [17, 16, 7, 25], [28, 5, 26], [9, 1], [3, 37], [2, 22], [24, 6], [19, 21, 15], [8, 14], [10, 11, 29], [18, 31, 32], [27, 30, 34]]
55: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16, 7], [25, 28, 5, 26, 9, 1, 3, 37, 2, 22, 24], [6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31], [32, 27, 30, 34]]
56: [[23, 13, 35, 20, 12, 33], [36, 4, 17, 16], [7, 25], [28, 5], [26, 9, 1], [3, 37, 2], [22, 24, 6, 19], [21, 15], [8, 14, 10, 11], [29, 18, 31], [32, 27], [30, 34]]
57: [[23, 13, 35], [20, 12, 33], [36, 4], [17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22, 24], [6, 19, 21], [15, 8, 14], [10, 11], [29, 18, 31, 32], [27, 30, 34]]
58: [[23, 13, 35], [20, 12], [33, 36, 4, 17], [16, 7, 25, 28, 5, 26, 9, 1, 3, 37, 2, 22, 24, 6, 19, 21, 15, 8, 14, 10, 11, 29, 18, 31, 32, 27, 30, 34]]
59: [[23, 13, 35], [20, 12], [33, 36], [4, 17, 16], [7, 25, 28], [5, 26, 9], [1, 3, 37], [2, 22], [24, 6, 19], [21, 15, 8], [14, 10, 11, 29], [18, 31, 32], [27, 30, 34]]
60: [[23, 13], [35, 20, 12], [33, 36, 4], [17, 16, 7], [25, 28, 5], [26, 9], [1, 3, 37], [2, 22, 24], [6, 19], [21, 15], [8, 14, 10], [11, 29, 18, 31], [32, 27, 30, 34]]
