0: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
1: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
2: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
3: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
4: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
5: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
6: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
7: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
8: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
9: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
10: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
11: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
12: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
13: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
14: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
15: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
16: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
17: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
18: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
19: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
20: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
21: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
22: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
23: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
24: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
25: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
26: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
27: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
28: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
29: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
30: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
31: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
32: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
33: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
34: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
35: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
36: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
37: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
38: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
39: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
40: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
41: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
42: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
43: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
44: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
45: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
46: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
47: [[1, 2, 19, 20, 13], [9, 6, 11, 7, 12], [16, 18, 15, 4, 3], [5, 14, 8, 10, 17], [21, 23, 24, 22]]
