0: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
1: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
2: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
3: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
4: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
5: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
6: [[10, 6, 3, 1, 2, 4, 14, 7, 9], [13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
7: [[10, 6, 3, 1, 2, 4, 14, 7, 9], [13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
8: [[10, 6, 3, 1, 2, 4, 14, 7, 9], [13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
9: [[10, 6, 3, 1, 2, 4, 14, 7, 9], [13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
10: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
11: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
12: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
13: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
14: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
15: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
16: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
17: [[10, 6, 3, 1, 2, 4], [14, 7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
18: [[10, 6, 3, 1, 2, 4], [14, 7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
19: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
20: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
21: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
22: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
23: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
24: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
25: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
26: [[10, 6, 3, 1, 2, 4, 14], [7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
27: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
28: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
29: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
30: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
31: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13], [5, 8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
32: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
33: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
34: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
35: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
36: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17, 22], [21, 23, 24]]
37: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
38: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12, 15], [20, 18, 19, 16, 17, 22], [21, 23, 24]]
39: [[10, 6, 3, 1, 2, 4], [14, 7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
40: [[10, 6, 3, 1, 2, 4], [14, 7, 9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
41: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5], [8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
42: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5], [8, 11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
43: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
44: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11], [12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
45: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
46: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8], [11, 12, 15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
47: [[10, 6, 3, 1, 2, 4, 14, 7, 9, 13, 5, 8, 11, 12], [15, 20, 18, 19, 16, 17], [22, 21, 23, 24]]
48: [[10, 6, 3, 1, 2, 4, 14, 7, 9], [13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22, 21], [23, 24]]
49: [[10, 6, 3, 1, 2, 4, 14, 7], [9, 13, 5, 8, 11, 12, 15, 20, 18, 19, 16, 17, 22, 21], [23, 24]]
