0: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
1: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
2: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
3: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
4: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
5: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
6: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
7: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
8: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
9: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
10: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
11: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
12: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
13: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
14: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
15: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
16: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
17: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
18: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
19: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
20: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
21: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
22: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
23: [[23, 13, 34, 15, 3, 30], [11, 35, 2, 33, 12, 7], [16, 4, 17, 9, 32, 36], [1, 8, 20, 27, 5, 6], [18, 10, 22, 29, 19, 24, 14], [25, 21, 26, 28, 31, 37]]
