0: [[20, 7, 12, 10, 11], [2, 9, 6, 1, 13], [16, 3], [4, 22, 5], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
1: [[20, 12, 10], [7, 11], [2, 9, 6, 1, 13], [16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
2: [[20, 12, 10], [7, 2, 9, 6, 1, 13, 11], [16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
3: [[20, 12, 10], [7, 2, 9, 6, 1, 13, 11], [16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
4: [[20, 12], [10, 11, 7, 2, 9], [6, 1, 13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
5: [[20, 7, 2, 12, 10, 11], [9, 6], [1, 13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
6: [[20, 7, 2, 12, 10, 11], [9, 6], [1, 13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
7: [[20, 7, 2, 12, 10, 11], [9, 6], [1, 13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
8: [[20, 7, 2, 12, 10, 11], [9, 6], [1, 13, 16, 3], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
9: [[20, 11, 7, 12, 10], [2, 9], [1, 13, 16, 3, 6], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
10: [[20, 11, 7, 12, 10], [2, 9], [1, 13, 16, 3, 6], [4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
11: [[20, 7, 12, 10, 11], [2, 9, 6, 1, 13], [16, 3, 4], [5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
12: [[20, 7, 2, 12, 10, 11], [9, 6], [1, 13], [16, 3, 4, 5, 22], [8, 15, 18, 19, 14, 17], [23, 24, 21]]
13: [[11, 7, 12], [2, 9, 6, 1], [13, 16, 3, 4, 5], [22, 8, 15, 18, 19], [14, 17, 20, 10], [23, 24, 21]]
