0: [[2], [12, 4], [6, 9, 5, 13], [10, 11, 14, 7], [8, 15], [18, 16, 3], [20, 19, 17, 22, 1], [21, 23, 24]]
1: [[2], [12, 4], [6, 5, 9], [10, 11, 14, 7], [8, 13, 15], [18, 16, 3], [20, 19, 17, 22, 1], [21, 23, 24]]
2: [[2], [12, 6, 5, 9, 4], [10, 11, 14, 7], [8, 13], [15, 18, 16, 3], [20, 19, 17, 22, 1], [21, 23, 24]]
3: [[2], [12], [6, 5, 9, 10, 4], [11, 14, 7], [8, 13, 15], [18, 16, 3], [20, 19, 17, 22, 1], [21, 23, 24]]
4: [[2], [12], [6, 5, 9, 10, 4], [11, 14, 7], [8, 13, 15], [18, 16, 3], [20, 19, 17, 22, 1], [21, 23, 24]]
5: [[2], [12, 6, 3], [5, 9], [10, 11, 14, 7], [8, 13, 15, 18], [16, 20, 1], [19, 17, 22, 4], [21, 23, 24]]
6: [[2], [12, 4], [6, 5, 9], [10, 11, 14, 7], [8, 13], [15, 18], [16, 20, 1, 3], [19, 17], [22, 21, 23, 24]]
7: [[2], [12, 6, 4, 3], [5, 9], [10, 11, 14, 7], [8, 13, 15, 18], [16, 20, 19, 17, 1], [22, 21, 23, 24]]
8: [[2], [12, 6, 5, 4], [9, 10, 3], [11, 14, 7], [8, 13], [15, 18, 16], [20, 19, 1], [17, 22], [21, 23, 24]]
9: [[2], [12, 6, 3], [5, 9, 10, 1, 4], [11, 14, 7], [8, 13], [15, 18, 16], [20, 19, 17, 22], [21, 23, 24]]
10: [[2], [12], [6, 5, 9], [10, 11, 14], [7, 8], [13, 15], [18, 16, 3], [20, 19, 17, 22, 1, 4], [21, 23, 24]]
11: [[2], [12, 6], [5, 9, 10, 4], [11, 14, 7], [8, 13, 15], [18, 16, 20, 1, 3], [19, 17, 22], [21, 23, 24]]
12: [[2], [12, 6, 3], [5, 9], [10, 11, 14], [7, 8, 13], [15, 18, 16], [20, 19, 17, 22, 1, 4], [21, 23, 24]]
13: [[2, 4], [12], [6, 5], [9, 10, 11, 1], [14, 7], [8, 13, 15], [18, 16, 3], [20, 19, 17], [22, 21, 23, 24]]
14: [[2], [12, 6], [5, 9], [10, 11, 14], [7, 8, 13, 15], [18, 16, 20, 1, 3], [19, 17, 22, 4], [21, 23, 24]]
15: [[2], [12, 6, 5, 9, 4], [10, 11], [14, 7, 8], [13, 15, 18, 16, 3], [20, 19, 17, 1], [22, 21, 23, 24]]
16: [[2], [12, 6, 4], [5, 9], [10, 11], [14, 7, 8, 13, 15], [18, 16, 3], [20, 19, 1], [17, 22], [21, 23, 24]]
17: [[2], [12, 6, 5, 4], [9, 10, 11, 1], [14, 7, 8], [13, 15, 18, 16, 3], [20, 19, 17], [22, 21, 23, 24]]
18: [[2], [12], [6, 5, 4], [9, 10, 11], [14, 7], [8, 13], [15, 18, 16, 3], [20, 19, 1], [17, 22], [21, 23, 24]]
19: [[2], [12, 6, 5, 9, 4, 3], [10, 11, 14, 7, 8], [13, 15, 18], [16, 20], [19, 17, 1], [22, 21, 23, 24]]
20: [[2], [12], [6, 5, 9], [10, 11, 14], [7, 8], [13, 15], [18, 16, 20, 1, 3], [19, 17, 22, 4], [21, 23, 24]]
21: [[2], [12, 6, 5, 9, 4], [10, 11, 14], [7, 8, 13], [15, 18, 16, 3], [20, 19, 1], [17, 22, 21], [23, 24]]
22: [[2], [12, 6, 3], [5, 9], [10, 11], [14, 7], [8, 13, 1], [15, 18, 16, 20], [19, 17, 22, 4], [21, 23, 24]]
23: [[2], [12, 6, 3], [5, 9], [10, 11], [14, 7], [8, 13, 1], [15, 18, 16, 20], [19, 17, 22, 4], [21, 23, 24]]
24: [[2, 4], [12], [6, 5, 9], [10, 11], [14, 7, 8], [13, 15], [18, 16, 3], [20, 19, 17, 1], [22, 21, 23, 24]]
25: [[2, 1], [4, 3, 12], [6, 5, 9], [10, 11, 14, 7], [8, 13], [15, 18, 16, 20], [19, 17], [22, 21], [23, 24]]
26: [[2], [12], [6, 5, 4], [9, 10, 1, 3], [11, 14, 7], [8, 13, 15, 18], [16, 20, 19, 17], [22, 21], [23, 24]]
27: [[2], [12, 6], [5, 9], [10, 11, 14], [7, 8], [13, 15], [18, 16, 20, 1, 3], [19, 17, 22, 4], [21, 23, 24]]
28: [[2], [12], [6, 5, 4], [9, 10, 3], [11, 14], [7, 8, 13, 15], [18, 16, 20, 1], [19, 17, 22], [21, 23, 24]]
29: [[2], [12, 6], [5, 9], [10, 11], [14, 7, 8], [13, 15], [18, 16, 20, 1, 3], [19, 17, 22, 4], [21, 23, 24]]
30: [[2], [12], [6, 5, 4, 3], [9, 10, 11, 1], [14, 7], [8, 13, 15, 18], [16, 20, 19, 17], [22, 21], [23, 24]]
31: [[2], [12, 6, 3], [5, 9, 10, 4], [11, 14], [7, 8, 13], [15, 18, 16, 20], [19, 17, 22, 1], [21, 23, 24]]
32: [[2, 4], [12], [6, 5], [9, 10, 11], [14, 7, 8], [13, 15, 18], [16, 20, 1, 3], [19, 17], [22, 21, 23, 24]]
33: [[2], [12, 6], [5, 9, 10, 1, 4], [11, 14], [7, 8, 13, 15], [18, 16, 3], [20, 19, 17, 22, 21], [23, 24]]
34: [[2], [12, 6, 3], [5, 9, 10, 4], [11, 14], [7, 8], [13, 15, 18, 16], [20, 19, 1], [17, 22], [21, 23, 24]]
35: [[2], [12, 4], [6, 5], [9, 10, 1, 3], [11, 14], [7, 8], [13, 15, 18], [16, 20, 19, 17], [22, 21, 23, 24]]
36: [[2], [12, 6, 3], [5, 9, 10, 1, 4], [11, 14], [7, 8, 13], [15, 18, 16], [20, 19, 17], [22, 21], [23, 24]]
37: [[2, 1], [12, 4], [6, 5, 9], [10, 11, 14], [7, 8, 13, 15], [18, 16, 20, 3], [19, 17, 22, 21, 23, 24]]
38: [[2], [6, 5, 4, 3], [9, 10, 11, 12], [14, 7], [8, 13], [15, 18], [16, 20, 19, 1], [17, 22], [21, 23], [24]]
39: [[2], [12], [6, 5, 4], [9, 10, 1], [11, 14], [7, 8], [13, 15], [18, 16, 20, 3], [19, 17, 22, 21], [23, 24]]
40: [[2], [12, 6, 4, 3], [5, 9, 10, 11], [14, 7, 8], [13, 15], [18, 16, 20, 19, 1], [17, 22, 21], [23, 24]]
41: [[2], [12, 6, 5, 9, 10, 4, 3], [11, 14, 7], [8, 13, 1], [15, 18], [16, 20, 19, 17, 22, 21, 23, 24]]
42: [[2], [12], [6, 5, 9, 10, 3], [11, 14, 7, 8], [13, 15, 18], [16, 20, 19, 1, 4], [17, 22, 21, 23, 24]]
43: [[2, 1, 4], [3, 12], [6, 5, 9], [10, 11], [14, 7, 8], [13, 15, 18], [16, 20, 19, 17], [22, 21, 23], [24]]
44: [[2], [12, 6, 5, 4], [9, 10, 1, 3], [11, 14, 7, 8], [13, 15, 18], [16, 20, 19, 17, 22, 21, 23, 24]]
45: [[2], [12], [6, 5], [9, 10, 11, 1], [14, 7], [8, 13], [15, 18, 16, 20, 4, 3], [19, 17, 22, 21, 23, 24]]
46: [[2, 1], [4, 3, 12], [6, 5], [9, 10, 11, 14], [7, 8, 13], [15, 18, 16, 20, 19, 17, 22, 21, 23, 24]]
47: [[2, 1], [4, 3], [12, 6, 5], [9, 10, 11, 14, 7, 8, 13, 15, 18, 16, 20, 19, 17, 22, 21, 23, 24]]
