0: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10, 12], [13, 9, 24, 18, 23, 17, 16, 22, 14], [25, 28, 20], [21, 26, 27, 29]]
1: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10], [14, 13, 9, 24, 18, 12, 17, 16, 20, 22, 25], [27, 23, 21, 26, 29], [28]]
2: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 10, 12], [13, 9, 24, 18, 14, 17, 16, 20, 22, 25, 23], [21, 26, 28, 27, 29]]
3: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 10, 12], [13, 9, 24, 18, 14, 17, 16, 20, 22, 25, 23], [21, 26, 28, 27, 29]]
4: [[2, 1, 19], [5, 6, 3], [4, 15], [8, 7, 11], [9, 13, 10], [24, 18], [17, 16, 12, 22], [20, 25], [29, 23, 21, 14], [26, 27, 28]]
5: [[2, 1, 19, 5, 6], [3, 4, 15], [8, 7, 11], [10, 12, 13, 9, 24, 18, 14], [17, 20, 16, 23, 25, 22], [21, 26, 28, 27, 29]]
6: [[2, 1, 19, 5, 6], [3, 4, 15, 8, 7, 11, 9, 12, 13], [25, 24, 22, 10, 17], [16, 18, 20, 23, 29, 14], [27, 26, 28, 21]]
7: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 13], [10, 9, 16], [24, 18, 14], [25, 17, 20], [12, 22], [21, 29, 23, 26, 27, 28]]
8: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10, 14], [13, 9, 24], [18, 12, 17, 16, 20], [29, 21, 28, 22, 23, 26, 25, 27]]
9: [[2, 1, 19], [5, 6], [3, 4, 15, 8], [7, 11], [10, 14, 13, 9, 24, 18, 12, 17, 16, 22, 20], [25, 23, 21, 26, 28], [27, 29]]
10: [[2, 1, 19], [5, 6, 3, 4], [15, 8, 7, 11], [13, 9, 12], [24, 14], [17, 16], [18, 20, 23, 10, 22], [28, 21, 25, 26, 27, 29]]
11: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 9, 13], [12, 25], [24, 18, 10, 17, 16], [21, 22, 14, 20, 23, 29, 26, 27, 28]]
12: [[2, 1, 19], [5, 6], [3, 4, 15], [8, 7, 11], [9, 24], [12, 13, 10, 18, 21, 20], [14, 17, 16], [29, 22, 23, 25], [28, 26, 27]]
13: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10, 12], [13, 25, 24, 17, 14, 9, 20, 18], [16, 23, 28, 21], [29, 26, 27, 22]]
14: [[2, 1, 19], [5, 6], [3, 4], [15, 8, 7, 11, 10, 28, 13, 9, 24, 26, 12, 16, 20, 14, 17], [21, 18, 23, 25, 27, 29, 22]]
15: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 14], [9, 13, 10, 24, 12, 23, 17, 16, 22, 20, 18, 25, 29, 21, 26, 27, 28]]
16: [[2, 1, 19], [5, 6], [3, 4, 15], [8, 7, 11, 12, 10, 9, 13], [18, 14, 21, 17, 16, 22, 28, 24, 23, 20, 25, 26, 27, 29]]
17: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11], [10, 12, 13], [9, 24, 18], [14, 17], [20, 22], [16, 23], [21, 29, 25, 26, 27, 28]]
18: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10, 14], [9, 12], [24, 18], [13, 16, 26, 22, 28, 17, 20, 21, 27, 23, 25, 29]]
19: [[2, 1, 19], [5, 6, 3, 4], [15, 8, 7, 11, 10, 12, 13], [9, 24, 18, 14, 17, 20, 16, 22, 25, 21], [23, 26, 28, 27, 29]]
20: [[2, 1, 19], [5, 6], [3, 4, 15, 8], [7, 11, 10, 12, 13], [9, 24, 22], [14, 17, 16], [18, 28], [23, 20], [21, 29], [26, 27, 25]]
21: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 9, 12, 10, 13, 26, 18], [28, 16, 14, 17, 20, 21, 22, 23, 24, 29], [25, 27]]
22: [[2, 1, 19], [5, 6], [3, 4, 15], [8, 7, 11, 10], [13, 25, 16, 12, 14, 17, 9, 21, 20], [22, 18, 28, 23, 24, 27, 26, 29]]
23: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7], [11, 9], [12, 10, 13, 18, 14], [29, 17, 16, 22], [28, 25], [20, 23], [21, 26, 27, 24]]
24: [[2, 1, 19], [5, 6], [3, 4, 15, 8], [7, 11], [10, 14, 13, 9, 24, 18, 12, 17, 20, 16], [21, 22, 23, 25, 29, 26], [27, 28]]
25: [[2, 1, 19], [5, 6, 3], [4, 15], [8, 7], [11, 10, 14, 13, 9, 24, 18, 22], [17, 16, 12], [20, 25, 29, 21, 23], [26, 27, 28]]
26: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11, 10], [13, 9, 14], [17, 22, 12], [20], [16, 18, 21, 24, 23, 25, 26, 27, 28, 29]]
27: [[2, 1, 19], [5, 6], [3, 4, 15], [8, 7], [11, 10, 9, 13, 12, 16, 20, 14], [25, 17, 18, 21, 23, 27, 22, 24, 26, 28, 29]]
28: [[2, 1, 19, 5, 6], [3, 4, 15, 8, 7, 11, 9, 12, 13], [25, 24, 18, 10, 17], [20, 14, 16, 23, 21, 22, 27, 26, 28, 29]]
29: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 10, 12, 13, 25, 24], [18, 14, 17, 16, 9, 20, 23, 29, 21, 27, 26, 22, 28]]
30: [[2, 1, 19], [5, 6], [3, 4], [15, 8, 7, 11, 9, 10, 12, 13, 28, 22, 14, 18, 21, 16, 20, 25, 23, 26], [17], [27, 29, 24]]
31: [[2, 1, 19], [5, 6, 3, 4, 15, 8, 7, 11, 10], [13, 9, 28, 24, 18], [12, 17, 22, 21, 20, 14, 16, 26, 27, 25, 29, 23]]
32: [[2, 1, 19], [5, 6], [3, 4], [15, 8], [7, 11, 13, 10, 9, 25, 24, 14], [21, 12, 16], [22, 17, 20, 18, 28], [29, 26, 27, 23]]
33: [[2, 1, 19, 5, 6], [3, 4, 15, 8, 7, 11], [9, 12, 13], [14, 24, 18, 10], [17, 20, 22, 16], [23, 21], [25, 27, 26], [28, 29]]
34: [[2, 1, 19, 5, 6], [3, 4, 15, 8, 7, 11, 10, 14, 13, 9, 24, 18, 12, 17, 16, 29, 20, 25, 23], [21, 26, 28, 27, 22]]
35: [[2, 1, 19], [5, 6, 3, 4], [15, 8, 7, 11, 13, 12, 9, 25], [24, 20], [21, 16, 14, 18, 10, 17, 22], [23, 29, 27, 26, 28]]
36: [[2, 1, 19, 5, 6], [3, 4, 15, 8, 7, 11, 10, 12, 9], [25, 24, 18, 13, 17, 16, 14, 20, 23], [21, 22, 27, 28, 26], [29]]
37: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 10, 12], [13, 9], [24, 18, 14, 17, 16, 20], [28, 25, 21], [22, 23, 26, 27, 29]]
38: [[2, 1, 19], [5, 6, 3], [4, 15, 8, 7, 11, 9, 12, 10, 13, 24, 22, 14, 17, 20, 16, 18, 25, 23, 21, 26], [28, 27, 29]]
39: [[2, 1, 19], [5, 6, 3, 4], [15, 8, 7, 11, 12, 10, 13, 9, 24, 22, 14, 17], [18, 20, 16, 21, 26, 23, 28, 27, 25, 29]]
40: [[2, 1, 19], [5, 6], [3, 4, 15, 8, 7, 11], [10, 12], [9, 13], [24, 16, 14], [17, 21], [20, 22], [18, 23], [25, 29, 27, 26, 28]]
