0: [[5, 3], [1, 10, 4, 2], [6, 9, 8, 11], [12, 13, 7]]
1: [[5, 1, 3], [10, 4], [6, 9, 8, 11], [12, 13, 2, 7]]
2: [[5, 1, 3], [10, 4], [6, 9, 8, 11], [12, 13, 2, 7]]
3: [[5, 3], [1, 10, 4], [6, 9, 2], [8, 11], [12, 13, 7]]
4: [[5, 3], [1, 10, 4], [6, 9, 2], [8, 11], [12, 13, 7]]
5: [[5, 3], [1, 10, 4], [2, 6], [11, 8, 9], [12, 13, 7]]
6: [[5, 3], [1, 10, 4], [9, 8, 6], [11, 12, 13, 2, 7]]
7: [[5, 3], [1, 10, 4], [13, 6, 8, 2], [11, 12, 9, 7]]
8: [[5, 3], [1, 10, 4], [6], [9, 8, 11, 2], [12, 13, 7]]
9: [[5, 1, 3], [8, 2], [6, 11], [9, 10, 4], [12, 13, 7]]
10: [[5, 3], [1, 10, 4], [2, 6, 9, 8], [11, 12, 13, 7]]
11: [[5, 1, 3], [10, 4, 2], [6, 9, 8, 11, 12], [13, 7]]
12: [[5, 3], [1, 4], [2, 10, 6], [11, 8, 9], [12, 13, 7]]
13: [[5, 3], [1, 10, 4, 6, 2, 9, 8], [11, 12, 13, 7]]
14: [[5, 3], [1, 10, 4], [6, 9, 2], [8, 11, 12, 7], [13]]
15: [[5, 3], [1, 10, 4], [6, 11], [8, 9, 7], [12, 13, 2]]
16: [[5, 3], [1, 2, 6, 9], [4, 11, 8, 10], [12, 13, 7]]
17: [[5, 3, 1], [10], [6, 11, 2], [8, 9, 4], [12, 13, 7]]
18: [[5, 3, 1, 10], [4, 2, 6, 11, 8], [9, 12, 13, 7]]
19: [[5, 3, 1, 10], [4, 6, 2, 9, 8, 11, 12], [13, 7]]
20: [[5, 3, 1, 10], [4, 2, 6, 9, 8, 11, 12], [13, 7]]
21: [[5], [3, 1], [6, 4], [9, 11, 8, 7], [10, 12, 13, 2]]
22: [[5, 1, 3], [11, 12, 6, 2], [9, 8, 4], [10, 13, 7]]
23: [[5], [1, 8, 10, 4, 2], [6, 9, 3], [11, 12, 13, 7]]
24: [[5, 3], [9, 11, 1, 2], [8, 10, 12, 13, 7], [4, 6]]
25: [[5, 3], [1, 10, 4, 2, 6, 9, 8, 11, 12, 13], [7]]
26: [[5], [3, 1, 2, 4, 7], [6, 11, 8, 9, 12, 13, 10]]
27: [[5, 1], [10, 8, 4, 2, 6, 9, 3, 11, 12, 13], [7]]
