0: [[1, 3, 7, 2, 5], [8, 9, 4], [11, 12, 14, 30, 24], [31], [23, 22], [15, 16, 27, 10], [13, 29, 26, 21, 6], [19], [25, 17, 20, 42, 28, 58, 46, 35, 39, 33, 55, 32, 36], [38, 37, 41, 40, 43, 44, 45, 47, 51, 18], [57, 49], [48, 50, 34, 52, 53, 54, 59, 60, 56]]
1: [[1, 3, 7, 5, 2], [8, 9, 4], [12, 14, 16, 24], [31], [15, 13, 6, 10, 21], [11, 20, 19, 26, 22], [30, 23, 27], [25], [17, 28, 58, 29, 33, 46, 35, 39, 32, 51], [34, 36, 38, 37, 40, 41, 43, 44, 45, 47, 18], [42], [57, 49], [52, 50, 48, 55, 53, 54, 59, 60, 56]]
2: [[1, 3, 7, 5, 2], [8, 9, 4], [12, 14, 16, 24], [31], [15, 13, 6, 10, 21], [11, 20, 19, 26, 22], [30, 23, 27], [25], [17, 28, 58, 29, 33, 46, 35, 39, 32, 51], [34, 36, 38, 37, 40, 41, 43, 44, 45, 47, 18], [42], [57, 49], [52, 50, 48, 55, 53, 54, 59, 60, 56]]
3: [[1, 3], [7, 2], [5, 16, 8, 18, 21, 6], [15, 12, 4, 9, 11, 14, 17, 10], [13, 24], [20, 25, 22, 26, 19, 23], [28, 31, 29, 27, 55, 44, 30, 34, 35, 41, 36, 32, 33, 37, 39, 40, 38, 43, 42, 45, 59, 47, 51, 50, 48, 52, 46], [49, 53, 57, 60, 54, 58, 56]]
4: [[1, 3, 7, 5, 8, 9, 4, 30, 12, 10, 25, 14, 13, 22, 11, 27, 20, 2, 21, 29, 6], [15, 16, 28, 18, 19, 24, 17, 23, 26, 35, 34, 31, 37, 33], [36, 39, 40, 41, 38, 42, 43, 44, 45, 47, 52, 51, 32, 46, 50], [59, 60, 49, 54, 53, 57], [48, 58], [55, 56]]
5: [[1, 3, 7, 2, 4, 24, 8, 5, 6], [14, 15, 11, 29, 12, 26, 10], [16, 9, 13, 23, 18, 20, 19, 17, 25, 31, 22, 27, 28, 37, 44, 30, 33, 43, 36, 34, 42, 39, 38, 35, 40, 47, 41, 45, 32, 46, 21], [58, 50, 48, 55, 51, 53], [52, 49, 57, 56, 54, 60, 59]]
6: [[1, 3], [7, 2], [5, 24, 12, 4, 14, 30, 9, 26, 22, 6, 8, 11, 13, 16, 18, 19, 17, 29, 31, 25, 20, 10, 21, 23, 28, 27, 45, 34, 33, 48, 32, 36, 38, 15, 37, 39, 43, 35, 41, 44, 42, 47, 60, 40], [46, 49, 57, 50, 53, 52, 55, 54, 51, 56, 59, 58]]
7: [[1, 3, 7, 2, 4], [28, 8, 5, 6, 30, 9, 11], [18, 25, 13, 29, 23, 10, 15, 12, 16, 14], [19, 21, 22, 17, 31, 24], [26, 46, 27, 34], [20, 33, 32, 43, 35], [38, 36, 40], [37, 39, 45, 47, 41], [44, 51, 42, 54, 56], [49, 48, 58, 50, 52, 55, 53, 59, 57, 60]]
8: [[1, 3], [7, 2, 5], [16, 8, 4, 14, 26, 9], [28, 6, 13, 11, 10, 15, 12, 25, 20, 21, 19, 30, 17, 23, 22, 31, 24, 18, 27, 55, 46, 29], [32, 34, 41, 38, 33, 40, 45, 36, 37, 39, 43, 42, 47, 51, 52, 35, 53, 48, 54, 44], [49, 59, 57, 56, 50, 58, 60]]
9: [[1, 3], [7, 2, 5], [12, 8, 4, 14, 26, 9], [30, 10, 29, 15, 6, 13, 19, 11, 20, 16, 21, 22, 17, 24, 25, 31, 18, 23, 27, 28, 33, 56, 35, 32, 46, 38, 48], [37, 34, 36, 43, 39, 47, 41], [40, 60, 42, 45, 53], [49, 54, 44, 51, 52, 55, 50, 59, 57, 58]]
10: [[1, 3, 7, 2, 5, 28, 12, 14, 4, 22, 9], [8, 25, 11, 13, 30, 15, 18, 10, 21, 6], [19, 16], [20, 17, 23, 26, 24, 27, 29, 31, 32, 34], [45, 41, 47, 33, 35, 37, 46, 39, 36, 42, 50, 43], [53, 40, 52, 48, 58], [38, 54, 44, 49, 51, 55, 56, 57, 59, 60]]
11: [[1, 3, 7, 2, 4, 24, 12], [10, 6], [30, 9, 14, 26, 19, 8, 15, 11, 5, 29, 13, 20, 22, 16, 23, 18, 21, 27, 25, 17, 31, 52, 28, 42, 55, 33, 54, 32], [44, 35, 36, 34, 39, 45, 37, 47, 43, 60, 40, 41, 48, 51, 38, 53], [46, 49, 56, 50, 59, 57, 58]]
