0: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17], [38, 44], [5, 16, 40, 18], [59, 41], [49, 57, 53], [55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10, 36], [35, 7, 2, 34], [1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23, 24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
1: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23, 24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
2: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23, 24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
3: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
4: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
5: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
6: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
7: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
8: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37, 52, 54, 50, 46]]
9: [[48, 14, 39, 26], [13, 58, 6, 21], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37], [52, 54, 50, 46]]
10: [[48, 14, 39, 26], [13, 58, 21, 6], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37], [52, 54, 50, 46]]
11: [[48, 14, 39, 26], [13, 58, 21, 6], [32, 17, 38, 44], [5, 16, 40, 18], [59, 41, 49, 57], [53, 55, 60, 22], [3, 31, 51, 30], [15, 33, 47, 10], [36, 35, 7, 2], [34, 1, 27, 43], [4, 20, 11, 19], [56, 8, 9, 23], [24, 28, 42, 12], [25, 45, 29, 37], [52, 54, 50, 46]]
