0: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
1: [[9, 10, 4, 6], [5, 1, 2, 3], [12, 7, 11, 13, 8]]
2: [[9, 10, 4, 6], [5, 1, 2, 3], [12, 7, 11, 13, 8]]
3: [[9, 10, 4, 6], [5, 1, 2, 3], [12, 7, 11, 13, 8]]
4: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
5: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
6: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
7: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
8: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
9: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
10: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
11: [[9, 10, 4, 6], [5, 1, 2, 3], [11, 13, 7, 12, 8]]
12: [[9, 10, 4, 6], [5, 1, 2, 3, 12], [7, 11, 13, 8]]
13: [[9, 10, 4, 6], [5, 1, 2, 3, 12], [7, 11, 13, 8]]
14: [[9, 10, 4, 6], [5, 1, 2, 3, 12], [7, 11, 13, 8]]
15: [[9, 10, 4, 6], [5, 1, 2, 3, 12], [7, 11, 13, 8]]
16: [[9, 10, 4, 6], [5, 1, 2, 3, 11], [13, 7, 12, 8]]
17: [[9, 10, 4, 6], [5, 1, 2, 3, 11], [13, 7, 12, 8]]
18: [[9, 10, 4, 6], [5, 1, 2, 3, 11], [13, 7, 12, 8]]
19: [[9, 10, 4, 6], [5, 1, 2, 3, 11], [13, 7, 12, 8]]
20: [[9, 10, 4, 6], [5, 1, 2, 3, 11], [13, 7, 12, 8]]
21: [[9, 10, 4, 6, 5], [1, 2, 3, 12], [7, 11, 13, 8]]
22: [[9, 10, 4, 6, 5], [1, 2, 3, 12], [7, 11, 13, 8]]
23: [[9, 10, 4, 6, 5], [1, 2, 3, 11], [13, 7, 12, 8]]
24: [[9, 10, 4, 6, 5], [1, 2, 3, 11], [13, 7, 12, 8]]
25: [[9, 10, 4, 6, 5], [1, 2, 3, 11], [13, 7, 12, 8]]
26: [[9, 10, 4], [6, 5, 1, 2, 3, 11, 13, 7], [12, 8]]
27: [[9, 10, 4], [6, 5, 1, 2, 3, 11, 13, 7], [12, 8]]
