0: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
1: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
2: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
3: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
4: [[9, 6], [1, 3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15], [16, 18], [17, 19, 20, 22], [23, 21, 24]]
5: [[9, 6], [1, 3], [2, 4, 10], [7, 5, 11], [8, 13, 12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
6: [[9, 6, 1, 3], [2, 4, 10], [7, 5, 11], [8, 13, 12], [14, 15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
7: [[9, 6], [1, 3], [2, 4, 10], [7, 5, 11], [8, 13], [12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
8: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
9: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
10: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
11: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
12: [[9, 6], [1, 3], [2, 4, 10], [7, 5, 11], [8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
13: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18, 17], [19, 20, 22], [23, 21, 24]]
14: [[9, 6, 1], [3, 2, 4], [10, 7, 5], [11, 8], [13, 12, 14], [15, 16, 18], [17, 19, 20, 22], [23, 21, 24]]
15: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
16: [[9, 6], [1, 3, 2], [4, 10, 7, 5], [11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
17: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13, 12], [14, 15], [16, 18], [17, 19, 20], [22, 23, 21, 24]]
18: [[9, 6, 1], [3, 2, 4], [10, 7, 5], [11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
19: [[9, 6], [1, 3], [2, 4, 10], [7, 5], [11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
20: [[9, 6], [1, 3], [2, 4, 10], [7, 5], [11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
21: [[9, 6], [1, 3], [2, 4, 10], [7, 5, 11], [8, 13, 12], [14, 15, 16], [18, 17], [19, 20, 22], [23, 21, 24]]
22: [[9, 6, 1], [3, 2, 4], [10, 7, 5], [11, 8, 13], [12, 14, 15, 16], [18, 17, 19, 20], [22, 23, 21, 24]]
23: [[9, 6], [1, 3], [2, 4], [10, 7, 5], [11, 8, 13], [12, 14, 15], [16, 18, 17], [19, 20, 22], [23, 21, 24]]
24: [[9, 6], [1], [3, 2, 4], [10, 7, 5], [11, 8], [13, 12, 14], [15, 16, 18], [17, 19, 20], [22, 23, 21, 24]]
25: [[9, 6, 1], [3, 2, 4], [10, 7, 5], [11, 8], [13, 12, 14], [15, 16], [18, 17, 19], [20, 22], [23, 21, 24]]
26: [[9, 6, 1], [3, 2], [4, 10, 7], [5, 11], [8, 13, 12], [14, 15, 16, 18], [17, 19, 20], [22, 23, 21, 24]]
27: [[9, 6, 1], [3, 2, 4, 10], [7, 5, 11], [8, 13], [12, 14, 15], [16, 18, 17, 19], [20, 22, 23], [21, 24]]
28: [[9, 6, 1, 3, 2, 4, 10], [7, 5, 11, 8, 13, 12, 14, 15, 16], [18, 17, 19, 20, 22, 23, 21, 24]]
29: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8, 13], [12, 14], [15, 16, 18], [17, 19, 20], [22, 23, 21], [24]]
30: [[9, 6], [1, 3, 2], [4, 10, 7], [5, 11, 8], [13, 12, 14, 15], [16, 18, 17, 19], [20, 22, 23], [21, 24]]
31: [[9, 6], [1, 3, 2], [4, 10], [7, 5, 11, 8], [13, 12, 14], [15, 16], [18, 17, 19], [20, 22, 23], [21, 24]]
32: [[9, 6, 1], [3, 2, 4, 10], [7, 5, 11], [8, 13, 12, 14, 15, 16, 18, 17, 19, 20, 22, 23, 21, 24]]
