0: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
1: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
2: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
3: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
4: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
5: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
6: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
7: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
8: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
9: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
10: [[12, 4, 22, 11, 3, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
11: [[12, 4, 22, 3, 11, 8], [5, 25, 20, 6, 10], [15, 7, 1, 13, 14, 17], [2, 9, 16, 18, 19, 24], [21, 23, 27, 26, 29, 28]]
