0: [[40, 39, 4, 38], [27, 11, 25, 53, 22, 35, 2], [32, 28, 17, 29], [14, 1, 54, 3, 33, 34, 30, 51], [5, 56, 44, 47, 6, 21], [36], [23, 7, 60, 50, 8, 52, 9], [12, 24, 45, 48, 15, 16, 13, 10, 18], [20, 43, 19, 31, 46], [49, 42, 57], [41, 37, 26], [59, 55, 58]]
1: [[40, 39, 4, 38], [27, 11, 25, 53, 22, 35, 2], [32, 28, 17, 29], [14, 1, 54, 3, 33, 34, 30, 51], [5, 56, 44, 47, 6, 21], [36], [23, 7, 60, 50, 8, 52, 9], [12, 24, 45, 48, 15, 16, 13, 10, 18], [20, 43, 19, 31, 46], [49, 42, 57], [41, 37, 26], [59, 55, 58]]
2: [[40, 39, 4, 38], [27, 11, 25, 53, 22, 35, 2], [32, 28, 17, 29], [14, 1, 54, 3, 33, 34, 30, 51], [5, 56, 44, 47, 6, 21], [36], [23, 7, 60, 50, 8, 52, 9], [12, 24, 45, 48, 15, 16, 13, 10, 18], [20, 43, 19, 31, 46], [49, 42, 57], [41, 37, 26], [59, 55, 58]]
3: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 10, 15, 31, 13, 17, 16, 21, 23, 26, 30, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
4: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 10, 15, 30, 13, 17, 16, 21, 31, 23, 26, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
5: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 15, 31, 13, 17, 16, 23, 26, 30, 28, 10, 21, 6], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
6: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 10, 15, 30, 13, 16, 17, 21, 23, 31, 26, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
7: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 26, 15, 10, 13, 17, 16, 21, 23, 30, 31, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
8: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 10, 15, 30, 13, 17, 16, 21, 23, 26, 31, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
9: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 26, 13, 15, 10, 17, 16, 30, 21, 23, 28, 31], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
10: [[35, 33, 2, 20, 7, 1, 19, 4, 8, 27, 3, 9, 14, 12, 24], [5, 11, 18, 6, 10, 15, 30, 17, 21, 16, 13, 23, 26, 31, 28], [22, 25, 29, 36, 42, 40, 32, 39, 37, 38, 34, 43, 41, 45, 44], [46, 47, 51, 48, 50, 49, 55, 52, 54, 60, 53, 57, 56, 58, 59]]
