0: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 11, 8, 13, 12, 10], [15, 18, 17], [20, 14, 16, 23, 22], [24, 28], [26, 21, 27], [29]]
1: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 11, 8, 13, 12, 10], [15, 18, 17], [20, 14, 16, 23, 22], [24, 28], [26, 21, 27], [29]]
2: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10, 8, 12, 11, 13, 15, 14, 16, 18, 24, 17, 23, 22], [20, 21, 26, 27, 28, 29]]
3: [[25, 5], [7, 2, 1], [19, 3, 4, 6, 9, 12, 22], [8, 13, 10], [15, 14], [20, 17, 11, 16, 24], [18, 28, 23], [26, 27, 29, 21]]
4: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 11], [12, 8, 13, 10], [15, 16], [17, 22, 18, 20], [28, 14, 29, 23], [24, 27, 26, 21]]
5: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 8, 12], [13, 10, 11], [14, 18, 17, 22, 29, 15, 20, 16, 23], [21, 27, 24, 26], [28]]
6: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 8, 13], [12, 11, 15, 20, 17, 24, 16, 28, 22, 14, 23], [21, 18, 26, 29, 27]]
7: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 12, 22], [8, 13, 11], [24, 15, 16, 21, 18, 10, 14], [17, 20], [28, 23, 26, 27], [29]]
8: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 12, 14, 8], [13, 11, 15, 22, 17, 16, 18, 20, 10, 23, 21], [26, 28, 24, 27, 29]]
9: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10, 8, 12], [13, 26, 15, 16, 11, 24, 14, 18, 23, 17, 28, 21, 22, 20, 27, 29]]
10: [[25, 5], [7, 2, 1, 19, 3, 4, 6, 9, 11], [8, 13, 18, 10, 12, 15, 23, 17, 16, 20, 22, 24, 28, 27], [26, 21, 29, 14]]
11: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 12, 14, 8, 13, 11, 15, 22, 17, 16, 20, 24, 10, 28, 23, 21, 18, 26, 27, 29]]
12: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 16, 13], [8, 11], [12, 14, 17, 24, 15, 18, 21], [22, 20], [28, 23, 26, 29], [27]]
13: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10, 8, 13, 14, 11, 15, 12, 21, 17, 16, 24, 23, 20, 28, 27, 18, 22, 29, 26]]
14: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 8, 12], [14, 26, 10, 11, 13, 27, 16, 29, 18, 17, 22, 20, 23, 15, 21, 28, 24]]
15: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 12, 8, 14, 13, 11, 10, 26], [15, 16], [24, 17, 18, 22, 20, 29, 23, 28, 27, 21]]
16: [[25, 5], [7, 2, 1, 19, 3, 4, 6, 9, 11, 8, 13, 18, 10, 12], [15, 23, 17, 16], [20, 22, 26, 29, 27, 21, 24, 28, 14]]
17: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 12], [8, 29, 13, 11, 18, 14], [20, 15, 17, 24, 21, 28, 16, 26, 27, 22, 23]]
18: [[25, 5], [7, 2, 1, 19, 3], [4, 6, 9, 10, 8, 11, 13, 14], [15, 18, 16], [26, 20, 17, 12, 28, 22, 23], [24, 21, 27, 29]]
19: [[25, 5], [7, 2, 1, 19, 3, 4, 6, 9, 8, 12, 13], [20, 14, 11, 15, 17, 18, 22, 10, 21, 24, 26, 16, 28, 23, 27, 29]]
20: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 8, 13], [12, 26, 15, 20], [14, 11, 16, 24, 23, 17, 28, 21, 18, 22, 29, 27]]
21: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 8, 13], [12, 26, 15, 20], [14, 11, 16, 24, 23, 17, 28, 21, 18, 22, 29, 27]]
22: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 8, 12, 14, 28, 10], [15, 11, 27], [16, 13, 17, 21], [22, 18, 20, 26, 23, 29, 24]]
23: [[25, 5], [7, 2], [1, 19, 3, 4, 6, 9, 12, 11, 13, 8, 10], [15, 17, 18, 21, 20, 16, 22, 27, 26, 24, 23, 28, 29, 14]]
24: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10, 8, 14, 11], [15, 13, 16, 28], [12, 18, 21, 22, 23, 17, 20, 24, 26, 27, 29]]
25: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9], [11, 8, 13, 12, 14, 15, 16, 17, 22, 18, 20, 29, 10, 21, 23, 26, 27, 24, 28]]
26: [[25, 5], [7, 2, 1, 19], [3, 4, 6], [9, 8], [12, 13, 10, 15, 26, 11, 16, 17, 18, 14, 22, 23, 24, 20, 21, 27, 29, 28]]
27: [[25, 5], [7, 2, 1, 19], [3, 4, 6], [9], [10, 8, 11, 12, 14, 15, 20, 17, 22, 24, 16, 23, 18, 28, 13, 21, 26, 27, 29]]
28: [[25, 5], [7, 2, 1, 19, 3, 4, 12, 6, 10, 8, 15, 13, 9, 11, 18, 17, 20, 14, 16, 23, 22, 24, 28, 26, 21, 27], [29]]
29: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 12, 22], [8, 13, 10], [26, 15, 20], [11, 16, 14], [17, 23, 18, 28, 21], [24, 29, 27]]
30: [[25, 5, 7, 2], [1, 19, 3, 4, 6, 9, 8, 13, 11, 18, 10, 14, 20, 23, 16, 29, 22, 12, 15, 28, 24, 26, 17], [27, 21]]
31: [[25, 5], [7, 2, 17, 3, 1, 4, 12, 6, 10, 8, 11, 9, 14, 15, 22, 20, 16, 13, 18, 19, 23, 24, 26, 21, 28, 27], [29]]
32: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 8, 12], [13, 11, 28, 15, 10, 14], [16, 21, 26, 17, 18, 20, 23, 22], [24, 29, 27]]
33: [[25, 5], [7, 2, 1, 19, 3], [4, 6, 9, 11], [8, 13, 12, 10, 15, 18, 17, 14, 24, 16, 23, 20], [28, 21, 26, 22, 27, 29]]
34: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10], [8, 13, 12, 26], [28, 15, 14, 11, 16], [24, 23, 17, 18], [21, 20, 22, 27, 29]]
35: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 11, 8, 13, 12, 10], [15, 20, 14], [16, 17, 24, 23, 18], [28, 21], [26, 22, 27], [29]]
36: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 10, 8], [13, 12, 26], [15, 20, 14], [11, 17, 16, 23, 21], [24, 28], [18, 22, 29], [27]]
37: [[25, 5], [7], [2, 1, 19, 3, 4, 6, 9, 11, 8, 13, 12, 15, 26, 20, 17, 10, 14, 16, 23, 18, 24, 22, 21, 29, 27, 28]]
38: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 11, 12, 8, 10, 15], [16, 18, 17], [21, 14, 20, 27, 22], [23, 24], [26, 29, 28], [13]]
39: [[25, 5], [7, 2], [1, 19, 3], [4, 6, 9, 11, 8], [13, 12, 10], [15, 18], [21, 24, 14, 16], [17, 22, 20], [28, 26, 23, 27], [29]]
40: [[25, 5], [7, 2, 1, 19, 3, 4, 6, 9, 11], [8, 13, 12], [14, 15, 16, 17, 20], [10, 18], [21, 22, 23], [28], [26, 24, 27, 29]]
41: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10], [8, 13, 12, 26], [15, 18, 11, 20, 28, 16, 23, 21, 24, 29, 14, 17], [22, 27]]
42: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 11], [8, 13, 16, 14, 12, 10], [15, 17, 18, 20, 22, 26, 28], [23, 24, 21, 27, 29]]
43: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10, 8, 11, 13, 14], [15, 18, 16], [26, 20, 17, 12, 22, 27, 28], [21, 24, 23, 29]]
44: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9, 11, 8, 13], [10, 12], [14, 26, 17], [20], [23, 18, 24, 22, 16, 27, 15, 21, 28, 29]]
45: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 8, 12, 13, 14, 10], [15, 18, 17], [21, 11, 16, 22, 28, 24], [20, 26], [23, 27, 29]]
46: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 12, 14], [8, 10, 11], [28, 29, 16, 21, 18], [13, 15, 17, 23, 20, 22, 26, 27, 24]]
47: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9], [10, 8, 11, 13, 14], [15, 18, 21, 20], [12, 16, 23], [22, 24, 28, 26, 17, 27], [29]]
48: [[25, 5], [7, 2, 1, 19], [3, 4, 6, 9, 10], [16, 11, 8, 13], [28, 12, 17], [15, 22, 14], [18, 21, 20, 23, 24, 26, 27, 29]]
49: [[25, 5], [7, 2, 1, 19], [3, 4], [6, 9], [10, 16, 11], [12, 13, 15, 24], [8, 21, 18], [14, 22], [17, 20, 23, 28, 26, 29, 27]]
50: [[25, 5, 7], [2, 1, 19, 3], [4, 14], [9, 10, 8, 11], [13, 6, 12, 16, 17], [22, 15, 18], [20, 21, 23, 28, 24, 26, 27], [29]]
51: [[25, 5], [7, 2], [1, 19, 3, 4], [6, 9, 10, 8], [11, 20, 26, 15, 12, 14], [16, 28, 13, 22], [17, 23, 21, 18, 24, 29, 27]]
52: [[25, 5], [7, 2, 17], [3, 1, 4, 6], [9, 11], [8, 10, 12, 14], [13, 22, 16], [20, 15, 18], [19, 23], [24, 26], [28, 21, 27], [29]]
53: [[25, 5, 7, 2, 1, 19], [3, 4, 6, 9], [10, 8, 12, 13, 14, 15, 20, 18, 11, 16, 24, 23, 17, 28, 21, 22, 26, 29, 27]]
54: [[25, 5], [7, 2, 1], [19, 3, 4, 6, 9], [10, 8], [13, 14, 11], [12], [26, 17, 15, 16, 20, 18, 22, 24, 28, 23, 21, 27, 29]]
55: [[25, 5, 7], [2, 1, 19, 3, 4, 6, 9, 8, 12, 14], [13, 10, 11, 24, 27, 15], [18, 16, 17, 23], [20, 21, 28, 26, 22, 29]]
56: [[25, 5], [7, 2, 1, 19, 3, 4, 6, 9, 8, 12, 10], [14, 13, 28], [22, 16, 24, 27, 11], [18, 20, 21], [29, 15, 17], [23, 26]]
57: [[25, 5, 7, 2], [1, 19, 3, 4], [6, 9, 8, 12, 14, 10, 13, 15, 24, 27, 18, 11, 17, 16, 23], [21, 20, 26, 28, 22, 29]]
58: [[25, 5, 7, 2], [1, 19], [3, 4, 6, 9, 10], [8, 13, 12, 14], [15, 16, 18, 11, 17, 24, 20, 28, 21, 23, 22, 26], [29, 27]]
