0: [[24], [6, 3, 1, 13], [10, 14, 2], [4, 22, 5], [11, 7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
1: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
2: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
3: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
4: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
5: [[15, 18], [24, 13], [1, 6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
6: [[15, 18], [24, 13], [1, 6, 3], [10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
7: [[24, 13], [6, 3], [10, 14], [5, 4, 22], [11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
8: [[24, 13], [6, 3], [10, 14], [5, 4, 22], [11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
9: [[24, 13], [6, 3], [10, 14], [5, 4, 22], [11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
10: [[18, 15], [24, 13], [3, 10, 6], [14, 5, 4, 22], [11, 2, 7], [16, 17, 12, 19, 8, 9, 20, 1], [23, 21]]
11: [[15, 18], [24, 13], [1, 6], [3, 10, 14], [5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
12: [[24], [1, 6, 3, 13], [10, 14], [5, 4], [22, 11, 2, 7, 16], [17, 12, 15, 18], [19, 8, 9, 20], [23, 21]]
13: [[24], [1, 6, 3, 13], [10, 14], [5, 4], [22, 11, 2, 7, 16], [17, 12, 15, 18], [19, 8, 9, 20], [23, 21]]
14: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4], [22, 11, 2, 7], [16, 17, 12, 19, 8, 9, 20], [23, 21]]
15: [[15, 18], [24, 13], [1, 6, 3], [10, 14, 5], [4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
16: [[18, 15], [24, 13], [3, 10, 6], [14, 5, 4], [22, 11, 2, 7], [16, 17, 12, 19, 8, 9, 20, 1], [23, 21]]
17: [[15, 18], [24, 13], [1, 6], [3, 10], [14, 5, 4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
18: [[15, 18, 24], [13, 1], [6, 3], [10, 14, 5, 4, 22], [11, 2, 7, 16], [17, 12], [19, 8, 9, 20], [23, 21]]
19: [[15, 18], [24, 13], [1, 6, 3, 10], [14, 5], [4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
20: [[24], [1, 6, 13], [3, 10], [14, 5, 4], [22, 11, 2, 7, 16], [17, 12, 15, 18], [19, 8, 9, 20], [23, 21]]
21: [[24], [13], [6, 3], [10, 14, 5, 4, 22], [11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
22: [[15, 18], [24, 13, 1, 6], [3, 10], [14, 5], [4, 22], [11, 2, 7, 16, 17], [12, 19, 8, 9, 20], [23, 21]]
23: [[24, 13], [6, 3], [10, 14], [5, 4], [22, 11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
24: [[24, 13], [6, 3], [10, 14], [5, 4], [22, 11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
