0: [[56, 35, 60, 46, 2], [12, 39, 8, 11, 24, 45], [55, 40, 5, 44, 18], [3, 42, 53, 30, 51], [14, 29, 38], [52, 23, 4, 50], [27, 9, 15, 36, 6, 10], [16, 54], [7, 33, 32, 17], [48, 58, 20, 19, 26, 31, 34, 47], [28, 22, 57], [13, 37, 1, 25, 21], [41, 43], [49, 59]]
1: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 10, 8, 9, 11, 16, 30, 15, 24, 28, 17, 12, 18, 22, 21, 31], [23, 25, 19, 20, 26, 29, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
2: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 10, 8, 9, 19, 28, 17, 11, 15, 6, 12, 18, 23, 16, 22, 21, 24], [29, 20, 26, 30, 31, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
3: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 10, 8, 9, 24, 15, 17, 11, 12, 6, 28, 18, 23, 16, 21, 19, 22], [30, 20, 29, 31, 26, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
4: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 24, 9, 8, 12, 10, 11, 15, 16, 21, 18, 30, 17, 23, 19, 29], [26, 28, 22, 31, 20, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
5: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 24, 9, 8, 28, 19, 11, 15, 16, 18, 12, 17, 23, 31, 10, 21, 6], [30, 20, 22, 26, 29, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
6: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 9, 15, 8, 11, 10, 23, 12, 28, 19, 17, 21, 18, 30, 22, 16], [29, 20, 31, 25, 24, 26, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
7: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 9, 8, 11, 10, 18, 31, 12, 29, 24, 19, 16, 28, 15, 17, 21], [20, 30, 26, 22, 23, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
8: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 10, 8, 9, 24, 28, 17, 11, 15, 6, 12, 18, 31, 16, 21, 19, 29], [30, 20, 22, 23, 26, 25, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
9: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 8, 10, 11, 24, 29, 9, 12, 19, 18, 6, 31, 15, 16, 23, 17, 21], [22, 20, 30, 26, 25, 28, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
10: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 8, 10, 11, 24, 29, 9, 12, 19, 18, 6, 31, 15, 16, 23, 17, 21], [22, 20, 30, 26, 25, 28, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
11: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 8, 10, 11, 24, 29, 9, 12, 19, 18, 6, 31, 15, 16, 23, 17, 21], [22, 20, 30, 26, 25, 28, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
12: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 8, 10, 11, 24, 29, 9, 12, 19, 18, 6, 31, 15, 16, 23, 17, 21], [22, 20, 30, 26, 25, 28, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
13: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 11, 9, 8, 31, 10, 12, 17, 22, 15, 23, 21, 16, 19, 18, 28], [30, 20, 25, 29, 26, 24, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
14: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 9, 11, 12, 15, 8, 19, 10, 23, 17, 21, 28, 18, 29, 30, 16], [22, 20, 31, 25, 24, 26, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
15: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 8, 10, 6, 9, 24, 12, 11, 17, 23, 15, 16, 18, 26, 19, 21, 28], [22, 20, 29, 25, 30, 31, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
16: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 10, 8, 6, 26, 9, 11, 28, 19, 12, 15, 16, 23, 18, 17, 21, 24], [22, 20, 29, 25, 31, 30, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
17: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 9, 8, 10, 12, 26, 31, 11, 24, 15, 16, 29, 19, 17, 21, 18], [22, 20, 23, 28, 25, 30, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
18: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 9, 11, 8, 10, 16, 29, 15, 17, 12, 21, 28, 18, 19, 24, 25], [22, 20, 26, 23, 31, 30, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
19: [[35, 7, 2, 1, 3, 4, 14], [13, 5, 27, 6, 8, 9, 26, 28, 10, 15, 11, 12, 16, 18, 23, 22, 21, 19, 17], [20, 24, 25, 31, 30, 29, 40, 32, 37, 42], [38, 33, 34, 36, 39, 46, 41, 43, 44, 45, 47, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
