0: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
1: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
2: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
3: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
4: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
5: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
6: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
7: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
8: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
9: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
10: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
11: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
12: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
13: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
14: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
