0: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38], [40, 41, 60], [45, 44, 46], [47, 56], [61, 48], [55, 53, 49], [51, 52, 59, 57], [58, 62], [63, 69, 64], [65, 78, 67], [66, 68, 77, 71], [70, 74, 72], [75, 73, 76], [79, 84, 81, 82], [80, 83], [87], [85, 86, 88]]
1: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38], [40, 41, 60], [45, 44, 46], [47, 56], [61, 48], [55, 53, 49], [51, 52, 59, 57], [58, 62], [63, 69, 64], [65, 78, 67], [66, 68, 77, 71], [70, 74, 72], [75, 73, 76, 79, 84], [81, 82, 80, 83, 87, 85], [86, 88]]
2: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38], [40, 41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49], [51, 52, 59, 57], [58, 62, 63], [69, 64, 65], [78, 67, 66], [68, 77, 71], [70, 74, 72], [75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
3: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38], [40, 41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49], [51, 52, 59, 57], [58, 62, 63], [69, 64, 65], [78, 67, 66], [68, 77, 71], [70, 74, 72], [75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
4: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38, 40], [41, 60, 45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51, 52, 59, 57, 58, 62, 63, 69, 64, 65, 78, 67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
5: [[24, 7, 1], [2, 3, 36], [13, 5, 12], [4, 43, 6], [9, 10], [8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33, 34], [39, 32], [35, 37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49], [51, 52, 59], [57, 58, 62], [63, 69], [64, 65, 78], [67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87], [85, 86, 88]]
6: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38, 40], [41, 60], [45, 44, 46], [47, 56, 61], [48, 55, 53], [49, 51], [52, 59], [57, 58, 62, 63, 69, 64, 65, 78, 67, 66], [68, 77, 71, 70, 74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
7: [[24, 7, 1], [2, 3], [36, 13, 5], [12, 4], [43, 6, 9], [10, 8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25], [27, 28, 29], [30, 33, 34], [39, 32, 35], [37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52, 59, 57], [58, 62, 63], [69, 64], [65, 78, 67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79], [84, 81, 82, 80, 83, 87, 85, 86, 88]]
8: [[24, 7, 1], [2, 3], [36, 13, 5], [12, 4], [43, 6, 9], [10, 8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25], [27, 28, 29], [30, 33, 34], [39, 32, 35], [37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52, 59, 57], [58, 62, 63], [69, 64], [65, 78, 67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79], [84, 81, 82, 80, 83, 87, 85, 86, 88]]
9: [[24, 7, 1], [2, 3], [36, 13, 5], [12, 4], [43, 6, 9], [10, 8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25], [27, 28, 29], [30, 33, 34], [39, 32, 35], [37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52, 59, 57], [58, 62, 63], [69, 64, 65], [78, 67, 66], [68, 77, 71, 70], [74, 72, 75], [73, 76, 79, 84], [81, 82], [80, 83], [87, 85, 86], [88]]
10: [[24, 7, 1], [2, 3], [36, 13, 5], [12, 4], [43, 6, 9], [10, 8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25], [27, 28, 29], [30, 33, 34], [39, 32, 35], [37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52], [59, 57, 58, 62, 63, 69, 64, 65, 78, 67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
11: [[24, 7, 1], [2, 3, 36], [13, 5, 12], [4, 43, 6], [9, 10], [8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33, 34], [39, 32, 35], [37, 54, 42], [38, 40], [41, 60, 45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52, 59, 57], [58, 62, 63], [69, 64, 65, 78], [67, 66], [68, 77, 71], [70, 74, 72], [75, 73, 76], [79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
12: [[24, 7, 1], [2, 3], [36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25], [27, 28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38], [40, 41, 60], [45, 44], [46, 47, 56, 61], [48, 55, 53], [49, 51, 52], [59, 57, 58], [62, 63, 69], [64, 65, 78], [67, 66, 68], [77, 71, 70], [74, 72, 75], [73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
13: [[24, 7], [1, 2, 3], [36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15, 26], [21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33, 34], [39, 32, 35], [37, 54], [42, 38, 40], [41, 60], [45, 44], [46, 47], [56, 61, 48], [55, 53, 49], [51, 52, 59], [57, 58, 62], [63, 69, 64], [65, 78], [67, 66, 68], [77, 71, 70], [74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
14: [[24, 7, 1, 2], [3, 36, 13, 5], [12, 4, 43], [6, 9, 10], [8, 11, 31], [14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33], [34, 39, 32], [35, 37, 54], [42, 38, 40, 41], [60, 45], [44], [46, 47, 56], [61, 48, 55, 53, 49, 51, 52, 59, 57, 58, 62, 63, 69, 64, 65, 78, 67, 66, 68, 77, 71, 70, 74, 72, 75, 73, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
15: [[24, 7, 1], [2, 3, 36], [13, 5, 12], [4, 43, 6], [9, 10], [8, 11], [31, 14, 15], [26, 21, 17], [16, 23, 22], [19, 18, 50], [20, 25, 27], [28, 29], [30, 33, 34], [39, 32, 35], [37, 54, 42], [38, 40, 41], [60, 45, 44], [46, 47, 56], [61, 48, 55], [53, 49, 51], [52, 59, 57], [58, 62], [63, 69, 64], [65, 78, 67], [66, 68], [77, 71, 70], [74, 72, 75], [73, 76], [79, 84, 81, 82], [80, 83, 87], [85, 86, 88]]
