0: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 15, 9, 13, 18, 17], [7, 23, 16, 20, 22, 10, 14, 12], [28, 24, 29], [21, 27, 26]]
1: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 13, 7, 9, 10, 14], [16, 24, 15, 20, 17, 18, 22, 12], [23, 28, 29], [21, 26, 27]]
2: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 9, 15, 20, 13, 14], [7, 24, 10], [17, 16, 18, 28, 21, 23, 22, 12], [26, 27, 29]]
3: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 13, 7, 9, 21, 14], [24, 20, 18, 15, 17, 22, 10, 12], [23, 16, 28], [29, 26, 27]]
4: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 9, 15, 13, 7], [24, 23, 22, 10, 12], [18, 20, 16, 17, 21, 28, 14], [27, 26, 29]]
5: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 13, 7, 9, 10], [15, 16, 24, 14], [17, 20, 21, 22, 23, 18, 28, 12], [29, 26, 27]]
6: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 15, 9], [7, 11, 16, 13, 24, 10, 14, 12], [17, 29], [18, 20, 28, 23, 22], [26, 27, 21]]
7: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 13], [15, 9, 7, 28, 24, 10, 12], [18, 16, 17, 14], [23, 20, 21, 22], [27, 26, 29]]
8: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 9], [15, 7, 13, 18, 17, 22, 10], [16, 20, 21, 14, 12], [26, 23, 27], [28, 24, 29]]
9: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 7], [9, 20, 22, 10, 12], [15, 13, 16, 24, 23, 18, 17, 14], [21, 28], [27, 26, 29]]
10: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11], [9, 15, 7, 28, 16, 10, 12, 14], [13, 24, 17, 23, 18, 20, 21, 22], [27, 26, 29]]
11: [[6, 5, 25, 3], [1, 19, 2], [8, 4, 15, 9, 11, 17, 18, 10], [16, 13, 12], [20, 24, 7, 23, 21, 29, 22, 14], [27, 26, 28]]
12: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 9], [15, 20, 28, 13, 7, 24, 10, 12], [17, 16, 18], [23, 21, 27, 22], [26, 29, 14]]
13: [[6, 5], [25, 3, 1, 19, 2, 8, 4, 15], [9, 7, 18, 11, 14], [26, 24, 13, 16, 28, 10, 12], [20, 17, 23, 22], [21, 27, 29]]
14: [[6, 5, 25, 3], [1, 19, 2], [8, 4, 11, 13, 7, 9, 10, 12], [28, 21, 16, 18, 15, 20, 22], [17, 23, 24, 14], [27, 26, 29]]
15: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 15, 12], [13, 20, 10], [21, 17, 7, 9], [28, 16, 18, 23, 24, 22, 14], [27, 26, 29]]
16: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 7, 13, 12], [9, 21, 24, 17, 20, 28, 10], [18, 15, 14], [16, 23, 22], [27, 26, 29]]
17: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 15, 12], [13, 20, 10], [21, 17, 7, 9], [28, 16, 18, 23, 24, 22, 14], [27, 26, 29]]
18: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 13, 7], [15, 20, 29, 18, 14], [11, 10, 12], [9, 16, 17, 28, 21, 23, 22], [26, 27, 24]]
19: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 7, 15], [9, 13, 24, 26, 16, 10, 12, 14], [20, 28, 22], [17, 18, 23], [27, 21, 29]]
20: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 15, 23, 12], [7, 9, 28, 13, 24, 16, 10, 14], [17, 21], [18, 20, 22], [26, 27, 29]]
21: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 15, 9, 11], [28, 17, 7, 18, 24, 13, 10, 12], [16, 14], [20, 21, 23, 22], [27, 26, 29]]
22: [[6, 5], [25, 3, 1, 19, 2, 8, 4, 11, 9], [15, 7, 13, 29, 17, 10, 14], [20, 18], [23, 24, 16, 26, 22, 12], [21, 27, 28]]
