0: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
1: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
2: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
3: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
4: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
5: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
6: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
7: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
8: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
9: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
10: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
11: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
12: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
13: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
14: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
15: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
16: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
17: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
18: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
19: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
20: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
21: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
22: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
23: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
24: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
25: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
26: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
27: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
28: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
29: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
30: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
31: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
