0: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
1: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
2: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
3: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
4: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
5: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
6: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
7: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
8: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
9: [[22, 3, 5, 16], [1, 2], [12, 7], [14, 4], [10, 11], [6, 9, 8, 13, 15, 18], [17, 19, 20], [23, 21, 24]]
10: [[22, 3, 5, 16, 1], [2, 12], [7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
11: [[22, 3], [5, 16, 1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
12: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13, 15], [18, 17, 19, 20], [23, 21, 24]]
13: [[22, 3, 5, 16, 1, 2, 12], [7, 14], [4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
14: [[22, 3, 5, 16], [1, 2, 12, 7, 14, 4], [10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
15: [[22, 3, 5, 16, 1], [2, 12, 7, 14, 4], [10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
16: [[22, 3], [5, 16, 1, 2, 12, 7], [14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
17: [[22, 3], [5, 16], [1, 2], [12, 7], [14, 4, 10, 11, 6, 9], [8, 13, 15, 18], [17, 19, 20], [23, 21, 24]]
18: [[22, 3], [5, 16], [1, 2], [12, 7], [14, 4, 10, 11, 6, 9], [8, 13, 15, 18], [17, 19, 20], [23, 21, 24]]
