0: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
1: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
2: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
3: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
4: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
5: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
6: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
7: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
8: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
9: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
10: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
11: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
12: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
13: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
14: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
15: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
16: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
17: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
18: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
19: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
20: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
21: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
22: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
23: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
24: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
25: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
26: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
27: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
28: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
29: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
30: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
31: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
32: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
33: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
34: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
35: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
36: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
37: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
38: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
39: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
40: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
41: [[19, 17, 20], [10, 5, 7], [12, 11, 6, 9], [3, 8, 1, 2], [13, 14, 16, 18, 15, 4]]
