0: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
1: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
2: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
3: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
4: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
5: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
6: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
7: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
8: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
9: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
10: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
11: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
12: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
13: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
14: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
15: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
16: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
17: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
18: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
19: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
20: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
21: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
22: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
23: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
24: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
