0: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
1: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
2: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
3: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
4: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 46, 45, 47, 50, 52, 49, 51, 56, 54, 48, 61, 57, 55, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
5: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 46, 50, 52, 51, 49, 48, 54, 55, 62, 60, 56, 57, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
6: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 42, 37, 38, 43, 40, 45, 41, 46, 47, 52, 48, 51, 49, 54, 50, 55, 62, 57, 56, 61, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
7: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 47, 43, 46, 45, 52, 48, 51, 54, 49, 61, 55, 50, 56, 57, 62, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
8: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 54, 48, 50, 49, 51, 52, 55, 61, 62, 56, 57, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
9: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 45, 47, 46, 43, 52, 48, 51, 49, 54, 50, 55, 61, 56, 60, 63, 57, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
10: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 52, 49, 50, 54, 48, 57, 55, 63, 51, 56, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
