0: [[20, 8, 19, 12], [3, 16], [9, 1, 2, 13], [4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
1: [[2, 19, 12, 3, 16], [1, 9, 13, 20, 8], [4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
2: [[2], [19, 12, 3, 16, 1, 9, 13, 20, 8], [4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
3: [[2], [19, 12, 3, 16, 1, 9, 13, 20, 8], [4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
4: [[2, 19, 12, 3, 16], [1, 9, 13, 20, 8], [4, 22], [5, 14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
5: [[13, 20, 2, 8, 12], [3, 16], [1, 9, 19], [4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
6: [[13, 20, 2, 8, 12], [3, 16], [1, 9, 19], [4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
7: [[13, 20, 2, 8, 12], [3, 16], [1, 9, 19], [4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
8: [[13, 20, 2, 8, 12], [3, 16], [1, 9, 19], [4, 22, 5, 14, 6], [7, 10, 11, 17], [18, 15], [23, 21, 24]]
9: [[2], [19, 12, 3, 16, 1, 9, 13, 20, 8], [4, 22], [5, 14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
10: [[2, 19, 12, 3, 16], [1, 9, 13, 20, 8], [4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
11: [[2, 19, 12, 3, 16], [1, 9, 13, 20, 8], [4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
12: [[2], [19, 12, 3, 16, 1, 9, 13, 8], [4, 22, 5, 14], [6, 7, 10, 11, 17, 20], [18, 15], [23, 21, 24]]
13: [[2], [19, 12, 3, 16, 1, 9, 13, 20], [4, 22], [5, 14, 6, 7, 10], [11, 17, 18, 15, 8], [23, 21, 24]]
14: [[2, 19, 12, 3], [16, 1, 13, 20, 8], [9, 4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
15: [[2, 19, 12, 3], [16, 1, 13, 20, 8], [9, 4, 22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
16: [[13, 20, 8, 2], [19, 12], [3, 16, 1, 9, 4], [22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
17: [[13, 20, 8, 2, 19, 12], [3, 16, 1, 9], [4, 22, 5, 14, 6], [7, 10], [11, 17], [18, 15], [23, 21, 24]]
18: [[13, 20, 2, 8, 12], [3, 16, 1], [9, 4, 19], [22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
19: [[2, 19, 12, 13, 20], [3, 16, 1, 9, 4, 8], [22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
20: [[2, 19, 12, 20], [3, 16, 1, 9, 4, 22, 5, 8], [14, 6, 13], [7, 10, 11, 17], [18, 15], [23, 21, 24]]
21: [[13, 20, 8, 2, 19, 12], [3, 16], [1, 9, 4, 22, 5, 14, 6], [7, 10], [11, 17], [18, 15], [23, 21, 24]]
22: [[13, 20, 2, 8], [3, 16, 1, 12], [9, 4, 19], [22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
23: [[2], [19, 12, 13, 20, 8], [3, 16, 1, 9, 4, 22], [5, 14, 6], [7, 10, 11, 17, 18, 15], [23, 21, 24]]
24: [[13], [2, 12, 3, 16, 1, 8, 19], [9, 4, 22, 5, 14, 6], [7, 10, 20], [11, 17], [18, 15], [23, 21, 24]]
25: [[13, 20, 8, 2], [19, 12], [3, 16, 1, 9, 4, 22], [5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
26: [[2, 19, 12, 13, 20], [3, 16, 1, 8], [9, 4], [22, 5, 14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
27: [[2, 19, 12, 3, 16], [1, 9, 4, 22, 5], [14, 6, 13], [7, 10, 20], [11, 17, 18, 15, 8], [23, 21, 24]]
28: [[13, 2, 12, 3, 8, 19], [16, 1, 20], [9, 4, 22], [5, 14, 6, 7, 10], [11, 17], [18, 15], [23, 21, 24]]
29: [[2, 19, 8], [12, 3, 20], [16, 1, 13], [9, 4, 22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
30: [[2], [19, 12, 3, 16, 1, 9, 4, 13, 8], [22, 5, 14], [6, 7, 10, 11, 17, 20], [18, 15], [23, 21, 24]]
31: [[13, 2, 12, 3, 8, 19], [16, 1], [9, 4, 22, 5, 14, 6], [7, 10, 20], [11, 17], [18, 15], [23, 21, 24]]
32: [[2, 19, 12, 3], [16, 1, 9, 4, 22, 5], [14, 6, 13], [7, 10, 20], [11, 17, 18, 15, 8], [23, 21, 24]]
33: [[13, 2, 8], [12, 3, 16, 1, 19], [9, 4], [22, 5, 14, 6, 7, 10], [11, 17, 20], [18, 15], [23, 21, 24]]
34: [[13, 20], [2, 19, 16, 1, 8, 12, 3], [9, 4], [22, 5], [14, 6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
35: [[2, 19, 12, 3], [16, 1, 13, 20, 8], [9, 4], [22, 5, 14, 6, 7, 10, 11], [17, 18, 15], [23, 21, 24]]
36: [[2, 19, 12, 3, 16], [1, 9, 4, 20], [22, 5], [14, 6, 13], [7, 10, 11, 17, 18, 15, 8], [23, 21, 24]]
37: [[13, 2], [12, 3, 16, 1, 9, 4, 19], [22, 5], [14, 6], [7, 10, 20], [11, 17, 18, 15, 8], [23, 21, 24]]
38: [[2, 19, 12, 3], [16, 1, 13, 20], [9, 4], [22, 5, 14, 6, 7, 10], [11, 17, 18, 15, 8], [23, 21, 24]]
39: [[2, 19, 12, 3, 16], [1, 9, 13, 8], [4, 22, 5], [14, 6, 7, 10, 11], [17, 18, 20], [15, 23, 21, 24]]
40: [[13, 20], [2, 19, 16, 1, 8, 12, 3], [9, 4], [22, 5, 14], [6, 7, 10, 11, 17], [18, 15], [23, 21, 24]]
41: [[13, 20], [2, 19, 16, 1, 12], [9, 4], [22, 5], [14, 6, 3], [7, 10, 11, 17, 18, 15, 8], [23, 21, 24]]
42: [[2, 19, 8], [12, 3, 16], [1, 9, 13], [4, 22], [5, 14, 6, 7, 10, 11], [17, 18, 20], [15, 23, 21, 24]]
43: [[13, 20, 8, 2], [19, 12], [3, 16, 1, 9], [4, 22], [5, 14, 6, 7, 10, 11], [17, 18], [15, 23, 21, 24]]
44: [[2], [19, 12, 3, 8], [16, 1, 13], [9, 4, 22, 5, 14, 6, 7, 10, 11], [17, 18, 20], [15, 23, 21, 24]]
45: [[13, 2, 12, 8, 19], [3, 16], [1, 9, 4, 22, 5, 14], [6, 7], [10, 11], [17, 18, 20], [15, 23, 21, 24]]
46: [[2], [19, 12, 3, 16, 1, 13, 20], [9, 4], [22, 5, 14, 6, 7, 10, 11, 17, 18], [15, 23, 8], [21, 24]]
47: [[13, 2, 12, 3, 8], [16, 1], [9, 4, 22, 5, 14, 6, 7], [10, 11, 19], [17, 18, 20], [15, 23], [21, 24]]
48: [[2, 19, 8], [12, 3], [16, 1, 13], [9, 4], [22, 5, 14, 6, 7, 10, 11], [17, 18, 20], [15, 23, 21, 24]]
49: [[2, 19], [12, 3, 20], [16, 1, 13], [9, 4], [22, 5, 14, 6, 7, 10, 11, 17, 18, 8], [15, 23], [21, 24]]
